LATITUDE,LONGITUDE,POP_DENSITY
44.4,33.6,109.79356129964192
44.4,33.7,254.7867999970913
44.4,33.8,303.3274604315045
44.4,33.9,370.12298508433554
44.4,34.0,459.32114240646365
44.4,34.1,919.3501790364584
44.5,33.4,606.3741671244303
44.5,33.5,550.0604745359982
44.5,33.6,583.1952796449848
44.5,33.7,165.57869939009348
44.5,33.8,121.16780605912209
44.5,33.9,36.39180554615127
44.5,34.0,12.022882444991005
44.5,34.1,268.7872452603446
44.5,34.2,768.1256595112029
44.5,34.3,834.7317467689514
44.6,33.4,801.9616983803836
44.6,33.5,1564.6727623521235
44.6,33.6,820.7141931321886
44.6,33.7,147.28631896442838
44.6,33.8,66.79147627618578
44.6,33.9,64.66094518038962
44.6,34.0,23.03658937414487
44.6,34.1,8.562245678570536
44.6,34.2,12.974538094467587
44.6,34.3,252.14014861938801
44.6,34.4,295.8460235595703
44.7,33.5,283.2686265798715
44.7,33.6,382.3659615119298
44.7,33.7,109.93555494480663
44.7,33.8,167.05766224861145
44.7,33.9,83.89831423428323
44.7,34.0,24.388010991944206
44.7,34.1,5.213601814375983
44.7,34.2,5.9900675730572805
44.7,34.3,26.848757846487892
44.7,34.4,300.56181634374025
44.7,34.5,80.07396138098932
44.8,33.5,565.6479340333206
44.8,33.6,177.73641440462558
44.8,33.7,44.54509483774503
44.8,33.8,64.19628281394641
44.8,33.9,111.02855084339778
44.8,34.0,111.0573022266229
44.8,34.1,31.818873720036613
44.8,34.2,19.778397735622192
44.8,34.3,69.30390444397926
44.8,34.4,17.431659254762863
44.8,34.5,48.7864804731475
44.8,34.6,119.82499592757422
44.8,34.7,38.56630105336507
44.8,34.8,96.20502575076357
44.8,34.9,71.67860393035106
44.8,35.0,158.13417525724932
44.8,35.1,38.33543092233163
44.9,33.6,72.0150069668889
44.9,33.7,69.1964185502794
44.9,33.8,94.95570624205801
44.9,33.9,45.08293085296949
44.9,34.0,171.70945351322493
44.9,34.1,1898.9237174855339
44.9,34.2,223.03520033094617
44.9,34.3,67.77169392837419
44.9,34.4,5.952190134260389
44.9,34.5,6.738828433884515
44.9,34.6,9.162819102406502
44.9,34.7,12.884967466195425
44.9,34.8,15.977227929565641
44.9,34.9,22.81700042055713
44.9,35.0,74.9414343436559
44.9,35.1,41.9503427539553
44.9,35.2,64.4938488367832
44.9,35.3,11.273535728454588
45.0,33.6,131.41193907969708
45.0,33.7,73.89042698012457
45.0,33.8,60.36887387434641
45.0,33.9,25.54653614428308
45.0,34.0,452.7475386593077
45.0,34.1,1717.4165666566955
45.0,34.2,395.32096756829156
45.0,34.3,51.94522140754594
45.0,34.4,27.03536429338985
45.0,34.5,33.25234889321857
45.0,34.6,75.62871944242053
45.0,34.7,37.29160628716151
45.0,34.8,41.34304692347845
45.0,34.9,28.95669616262118
45.0,35.0,30.57293541232745
45.0,35.1,77.5914286126693
45.0,35.2,65.99723357624478
45.0,35.3,275.6001917899601
45.0,35.4,868.9312834358216
45.0,35.8,2.1737190783023834
45.0,35.9,6.180971939502092
45.0,36.0,17.963547619325773
45.0,36.1,11.646937108465604
45.0,36.2,19.690538276519096
45.0,36.3,0.6705331206321716
45.1,33.5,434.3748927396887
45.1,33.6,334.95216981814457
45.1,33.7,46.219409343269135
