LATITUDE,LONGITUDE,POP_DENSITY
44.5,33.5,509.63288002063257
44.5,34.0,132.1853545442565
44.5,34.5,220.98637484880834
45.0,28.5,15.235213206874
45.0,29.0,20.974982857704163
45.0,29.5,5.4267317950725555
45.0,33.0,62.77945859367783
45.0,33.5,233.6393876020565
45.0,34.0,233.08606714332333
45.0,34.5,40.706869044209746
45.0,35.0,48.82572908599147
45.0,35.5,144.64478670593581
45.0,36.0,8.008913466987606
45.0,36.5,46.20754972616354
45.5,28.0,119.85352633396785
45.5,28.5,64.83234064021492
45.5,29.0,75.71384125286379
45.5,29.5,35.667219895153316
45.5,30.0,27.292068179370496
45.5,32.5,28.22549813701993
45.5,33.0,22.728189971878415
45.5,33.5,21.630699446999696
45.5,34.0,31.42163605034566
45.5,34.5,59.5058384748251
45.5,35.0,35.20486546987209
45.5,35.5,23.704826417565346
45.5,36.0,25.889281317484976
45.5,36.5,334.085254313007
46.0,28.5,105.02292675188143
46.0,29.0,28.436548924681443
46.0,29.5,33.48060336696996
46.0,30.0,22.86143016182061
46.0,30.5,210.25820702206036
46.0,31.5,1.4696835204958916
46.0,32.0,14.171333698699108
46.0,32.5,30.458249604568387
46.0,33.0,49.055303763078506
46.0,33.5,45.08277210717657
46.0,34.0,54.209347139990896
46.0,34.5,26.240875542398708
46.0,35.0,78.44728492118594
46.5,29.0,21.329235181218735
46.5,29.5,18.73293917508995
46.5,30.0,35.9893967077381
46.5,30.5,573.6044497277637
46.5,31.0,425.05520682115497
46.5,31.5,42.4152779224399
46.5,32.0,21.755056532313052
46.5,32.5,197.79737474168007
46.5,33.0,50.64130361693628
46.5,33.5,43.02255742269871
46.5,34.0,13.667601693650782
46.5,34.5,14.115869430316978
46.5,35.0,22.873415353704477
46.5,35.5,24.4169271405182
46.5,36.0,20.544635387073026
46.5,36.5,55.50722579556189
46.5,37.0,466.27487564285593
47.0,29.5,15.027670239593496
47.0,30.0,26.539593157849183
47.0,30.5,22.21897231389719
47.0,31.0,26.121986673125665
47.0,31.5,15.770150712255683
47.0,32.0,267.3045270676374
47.0,32.5,20.493008285796655
47.0,33.0,24.5223756809445
47.0,33.5,48.55945244717536
47.0,34.0,18.36253174381982
47.0,34.5,11.590262019631862
47.0,35.0,19.47370314310487
47.0,35.5,121.25560402201147
47.0,36.0,13.247732230622189
47.0,36.5,22.261521628721546
47.0,37.0,68.51011436611012
47.0,37.5,485.49997575680914
47.0,38.0,40.063345098360294
47.0,38.5,45.06098369757334
47.5,25.0,8.034804582595825
47.5,29.0,16.613449915177007
47.5,29.5,32.80247736233746
47.5,30.0,22.672262532000733
47.5,30.5,16.04109402113237
47.5,31.0,16.97184160321939
47.5,31.5,36.66362442330041
47.5,32.0,15.407432690304535
47.5,32.5,25.33130907361977
47.5,33.0,17.695557195468158
47.5,33.5,29.009858564930983
47.5,34.0,51.579409814682336
47.5,34.5,178.1526375772003
47.5,35.0,38.74650230897469
47.5,35.5,34.42541241654736
47.5,36.0,24.156498825242398
47.5,36.5,21.92292434965159
47.5,37.0,20.063311347577656
47.5,37.5,44.665174661391184
47.5,38.0,26.385611546154667
47.5,38.5,18.11681130036911
47.5,39.0,4.745368337631225
48.0,22.5,160.44464783036887
48.0,23.0,166.12582761045275
48.0,23.5,175.13098311128206
48.0,24.0,85.76360942389887
48.0,24.5,22.664694064761452
48.0,25.0,29.696379918074413
48.0,25.5,65.15922572035934
48.0,26.0,111.67814074058083
48.0,26.5,143.5552853137728
48.0,28.0,99.3730028917392
