time,temperature_2m_max (°C),temperature_2m_min (°C),temperature_2m_mean (°C),rain_sum (mm),snowfall_sum (cm),wind_direction_10m_dominant (°)
2015-01-01,-1.8,-11.3,-5.1,0.00,0.14,257
2015-01-02,0.7,-1.9,-0.6,0.10,0.07,254
2015-01-03,2.4,0.7,1.6,0.90,1.05,264
2015-01-04,0.8,-1.1,-0.1,0.00,0.70,249
2015-01-05,-0.5,-6.0,-1.9,0.00,0.98,288
2015-01-06,-6.9,-16.5,-12.0,0.00,0.00,7
2015-01-07,-15.7,-19.5,-17.8,0.00,0.00,12
2015-01-08,-12.6,-22.6,-16.9,0.00,0.00,241
2015-01-09,-1.6,-13.9,-10.2,0.00,1.54,214
2015-01-10,0.1,-1.8,-0.6,0.00,1.68,214
2015-01-11,2.6,-0.9,0.8,0.40,2.94,246
2015-01-12,1.1,-1.8,-0.4,0.00,0.14,256
2015-01-13,3.1,-1.8,1.3,0.00,0.00,247
2015-01-14,3.3,-1.1,1.1,0.00,0.00,220
2015-01-15,0.6,-2.8,-0.9,0.00,0.07,217
2015-01-16,-0.2,-2.5,-1.3,0.00,0.00,262
2015-01-17,0.2,-2.8,-1.4,0.00,0.00,199
2015-01-18,2.2,0.3,1.3,0.00,0.00,214
2015-01-19,2.0,0.3,1.2,0.40,0.35,85
2015-01-20,0.3,-1.8,-0.9,0.00,4.20,73
2015-01-21,-1.8,-2.4,-2.1,0.00,4.83,97
2015-01-22,-1.8,-3.1,-2.2,0.00,0.00,109
2015-01-23,0.2,-3.4,-1.5,0.00,0.00,133
2015-01-24,-0.7,-9.9,-3.8,0.00,0.14,133
2015-01-25,-6.5,-10.1,-8.2,0.00,0.00,111
2015-01-26,-2.4,-7.0,-4.2,0.00,1.54,118
2015-01-27,-0.9,-3.8,-2.5,0.00,4.20,156
2015-01-28,-2.3,-5.3,-4.3,0.00,0.00,229
2015-01-29,-0.5,-5.4,-2.9,0.00,0.77,164
2015-01-30,2.0,-1.8,-0.1,0.40,0.00,157
2015-01-31,5.8,2.3,4.2,11.00,0.00,159
2015-02-01,4.8,-1.4,1.9,1.40,3.22,142
2015-02-02,0.6,-5.2,-1.4,1.70,8.12,351
2015-02-03,-1.1,-3.7,-2.0,0.00,5.32,335
2015-02-04,0.2,-4.0,-1.6,0.00,2.87,276
2015-02-05,-1.1,-3.7,-2.0,0.00,4.90,77
2015-02-06,-1.9,-9.3,-6.7,0.00,1.19,2
2015-02-07,-2.8,-8.9,-6.0,0.10,0.21,261
2015-02-08,-0.7,-3.0,-1.8,0.00,2.17,235
2015-02-09,-3.1,-10.9,-7.4,0.00,0.00,281
2015-02-10,-6.0,-11.4,-8.6,0.00,0.00,29
2015-02-11,-10.4,-17.3,-13.9,0.00,0.00,28
2015-02-12,-3.9,-17.5,-10.5,0.00,0.00,251
2015-02-13,-0.4,-3.8,-1.9,0.00,0.21,259
2015-02-14,-1.6,-4.6,-2.5,0.00,0.14,231
2015-02-15,-3.5,-5.6,-4.5,0.00,0.14,294
2015-02-16,-6.1,-11.7,-9.0,0.00,0.00,26
2015-02-17,-9.0,-15.1,-12.4,0.00,0.00,21
2015-02-18,-10.0,-21.5,-15.5,0.00,0.00,242
2015-02-19,0.0,-11.1,-4.1,0.00,0.00,303
2015-02-20,-0.5,-6.4,-3.0,0.00,0.00,204
2015-02-21,0.5,-1.7,-0.0,1.20,0.00,204
2015-02-22,1.1,-5.8,-2.1,0.00,0.00,184
2015-02-23,2.8,-1.5,0.6,0.00,0.00,172
2015-02-24,2.6,-1.5,0.4,0.00,0.00,136
2015-02-25,1.8,-3.5,-0.4,0.00,0.00,118
2015-02-26,2.5,-3.5,-0.2,0.40,0.84,125
2015-02-27,3.7,0.4,2.3,5.80,0.91,151
2015-02-28,2.3,0.3,1.4,0.00,0.00,134
2015-03-01,0.8,-1.2,-0.1,0.00,0.07,97
2015-03-02,1.8,-2.1,-0.1,0.00,0.00,161
2015-03-03,2.6,-0.0,1.1,1.90,1.19,152
2015-03-04,1.2,0.3,0.7,2.50,6.65,351
2015-03-05,2.8,-3.3,0.1,0.10,0.42,289
2015-03-06,2.9,-9.1,-3.2,0.10,0.00,274
2015-03-07,2.8,-7.8,-2.5,0.00,0.00,316
2015-03-08,5.8,-6.5,-0.4,0.00,0.00,249
2015-03-09,9.5,1.8,4.7,0.00,0.00,237
2015-03-10,12.4,-0.1,5.4,0.00,0.00,215
2015-03-11,13.0,-2.2,5.5,0.00,0.00,129
2015-03-12,7.9,2.6,5.6,0.60,0.00,82
2015-03-13,6.7,2.4,4.4,0.00,0.00,77
2015-03-14,5.0,1.7,3.2,1.10,0.00,93
2015-03-15,8.9,0.9,4.2,0.00,0.00,69
2015-03-16,8.5,-2.4,3.0,0.00,0.00,53
2015-03-17,6.8,-2.9,1.8,0.00,0.00,63
