time,temperature_2m_max (°C),temperature_2m_min (°C),temperature_2m_mean (°C),rain_sum (mm),snowfall_sum (cm),wind_direction_10m_dominant (°)
2015-01-01,-4.1,-5.8,-5.1,0.00,0.28,163
2015-01-02,-3.4,-6.4,-4.9,1.00,1.75,158
2015-01-03,0.3,-4.1,-2.1,0.00,0.28,147
2015-01-04,2.5,-1.2,-0.0,0.00,3.36,283
2015-01-05,0.9,-6.5,-1.0,0.00,0.00,318
2015-01-06,-2.0,-10.0,-5.2,0.00,0.00,353
2015-01-07,-5.8,-13.2,-9.2,0.00,0.00,73
2015-01-08,-5.1,-12.1,-8.2,0.00,0.07,140
2015-01-09,0.7,-6.1,-3.6,1.00,5.25,149
2015-01-10,2.1,-3.5,0.8,4.30,0.00,145
2015-01-11,4.0,-1.4,1.3,2.90,0.00,59
2015-01-12,2.8,-4.4,-0.4,0.00,0.00,227
2015-01-13,3.2,-1.5,0.5,0.00,0.00,153
2015-01-14,3.6,-5.2,-1.1,0.00,0.00,124
2015-01-15,5.1,-0.1,1.5,1.00,0.28,124
2015-01-16,4.1,-0.6,1.5,0.00,0.00,130
2015-01-17,6.3,-3.6,1.1,0.00,0.00,133
2015-01-18,5.8,0.3,3.0,6.20,0.00,120
2015-01-19,4.8,2.2,3.1,6.70,0.00,16
2015-01-20,4.8,2.6,3.4,0.70,0.00,96
2015-01-21,6.4,2.7,4.1,3.30,0.00,66
2015-01-22,6.9,0.9,4.1,2.10,0.00,82
2015-01-23,8.8,-0.4,4.1,0.00,0.00,10
2015-01-24,7.7,1.1,4.1,2.70,0.00,1
2015-01-25,4.5,-1.0,1.6,0.10,0.00,349
2015-01-26,3.8,-0.9,1.4,0.00,0.00,342
2015-01-27,2.6,-1.7,0.4,0.10,0.00,180
2015-01-28,4.4,-1.6,0.8,0.00,0.00,307
2015-01-29,1.7,-0.6,0.4,0.30,0.84,175
2015-01-30,6.2,0.4,3.0,4.10,0.49,131
2015-01-31,5.4,-0.7,3.0,14.30,1.75,186
2015-02-01,5.5,-4.1,0.3,0.00,0.00,41
2015-02-02,1.7,-2.6,-0.6,0.30,4.06,336
2015-02-03,1.0,-6.1,-2.1,0.20,0.21,165
2015-02-04,1.6,-6.4,-2.0,0.60,1.26,70
2015-02-05,2.9,-9.5,-2.8,0.00,0.00,13
2015-02-06,-0.0,-4.8,-2.3,0.00,0.00,30
2015-02-07,0.5,-12.3,-5.3,0.00,0.00,351
2015-02-08,0.2,-8.0,-3.7,0.10,1.12,28
2015-02-09,-0.8,-5.0,-2.9,0.00,1.05,317
2015-02-10,2.3,-2.9,-0.9,0.00,0.56,4
2015-02-11,4.0,-3.8,-0.8,0.00,0.00,7
2015-02-12,2.5,-4.5,-1.0,0.00,0.00,109
2015-02-13,3.3,-2.7,-0.3,0.00,0.00,109
2015-02-14,7.6,-2.5,1.1,0.00,0.00,85
2015-02-15,9.0,-3.5,1.2,0.00,0.00,16
2015-02-16,4.5,-4.4,-0.5,0.00,0.00,33
2015-02-17,2.8,-6.8,-2.0,0.00,0.00,91
2015-02-18,5.6,-3.3,0.2,0.00,0.00,316
2015-02-19,4.2,-2.4,0.6,0.00,0.00,214
2015-02-20,5.8,-1.5,1.5,0.00,0.00,147
2015-02-21,8.4,-3.0,1.7,0.00,0.00,152
2015-02-22,10.7,-1.4,4.0,0.00,0.00,106
