LATITUDE,LONGITUDE,LAND_USE_CLASS_0,LAND_USE_CLASS_1,LAND_USE_CLASS_2,LAND_USE_CLASS_3,LAND_USE_CLASS_4
44.5,33.5,0.5547929558941407,0.16644759730116843,0.09048481149417378,0.06117784815009585,0.12709678716042122
44.5,34.0,0.27306740822488307,0.5354111932175266,0.10874531028183532,0.033174075604107706,0.04960201267164732
44.5,34.5,0.6566843011348962,0.19359806473370939,0.06759733793760148,0.035013117903762006,0.047107178290031006
45.0,28.5,0.014517420953684248,0.3168898792661659,0.08754345143323186,0.5467024454858035,0.034346802861114495
45.0,29.0,0.26657830445543673,0.08323318186228633,0.2760194063877166,0.3471684045950792,0.0270007026994812
45.0,29.5,0.3647001870263888,0.08479293838488182,0.5275874368520805,0.020095246886499857,0.002824190850149088
45.0,33.0,0.7887840200873376,0.0,0.028688430863225076,0.16358673867497764,0.018940810374459664
45.0,33.5,0.45123698603687923,0.0045717797132479076,0.059100919200676214,0.41031999966096516,0.07477031538823144
45.0,34.0,0.0048606847465582125,0.1289440421782487,0.17421824418860413,0.5590705730256593,0.1329064558609297
45.0,34.5,0.03392061181389027,0.2888874621390227,0.3354305998629496,0.3036147248098344,0.03814660137430301
45.0,35.0,0.18622780794594726,0.2247145417115445,0.20071029160521642,0.34357853508656844,0.04476882365072335
45.0,35.5,0.45747146604223055,0.004356513728939007,0.17883702181514838,0.316372711906278,0.04296228650740401
45.0,36.0,0.3746192978885467,0.005213509181711647,0.3063334413524909,0.3096245264974423,0.004209225079808355
45.0,36.5,0.6795292138083634,0.0013646095506560623,0.09862931764278154,0.19519737873630694,0.025279480261892053
45.5,28.0,0.03579401878285774,0.04363126640768267,0.08697764439962895,0.7451128407136759,0.08848422969615477
45.5,28.5,0.1730597647242301,0.01948584612385027,0.08281254008605912,0.6739490248004494,0.0506928242654111
45.5,29.0,0.0752683285343893,0.026821777180118658,0.0630731930648629,0.7817229046788743,0.05311379654175489
45.5,29.5,0.176651822505892,0.035081992658260966,0.3275839748763141,0.43079646315743614,0.029885746802096914
45.5,30.0,0.8918140092502415,0.005492147110631062,0.03301050039701243,0.06323767190247356,0.006445671339641411
45.5,32.5,0.6678466372239441,7.586064728921872e-05,0.19194372298660686,0.11963881136216123,0.02049496777999854
45.5,33.0,0.29793271559047,9.238642134458377e-05,0.14218358494941913,0.5421769200043245,0.017614393034441823
45.5,33.5,0.0005059466279571937,5.5424237015240764e-05,0.13954003420269018,0.8388723406340248,0.02102625429831253
45.5,34.0,0.0001998259621308841,0.0003016957698830448,0.0569137614315155,0.908877221370487,0.033707495465983624
45.5,34.5,0.00243146269227042,0.0038575191843948095,0.033429085370263324,0.8925349092697903,0.06774702348328104
45.5,35.0,0.3369569231055957,0.0020999584251092723,0.09602960081795152,0.5386794052173638,0.026234112433979724
45.5,35.5,0.7822468599145367,0.0003665868352180139,0.05627732112658938,0.15467764241507834,0.006431589708577641
45.5,36.0,0.4685166423789875,0.009312591348656649,0.20789596480339922,0.2864225646603756,0.027852236808581003
45.5,36.5,0.6230133062679419,0.005922048228176723,0.18877115273697684,0.12211329720117246,0.06018019556573202
46.0,28.5,0.010290808212586561,0.07769347694539713,0.05751803507532694,0.7967615278865914,0.057736151880097925
46.0,29.0,0.004890301839653821,0.02095413728286236,0.054806928367182275,0.8772816681015809,0.0420669644087205
46.0,29.5,0.016274473678800062,0.011585336977154224,0.059776177130293096,0.8721338251238375,0.040230187089914965
46.0,30.0,0.13331177403017766,0.005167133230203456,0.016869848260381116,0.8175258570796766,0.027125387399561142
46.0,30.5,0.6366801290102462,0.003703871297644859,0.028490253257619877,0.26222129401304856,0.06890445242144046
46.0,31.5,0.9793814430226414,0.0016715657456398197,0.01894699123171875,0.0,0.0
46.0,32.0,0.8806751070537,0.0004883494538666952,0.04269980314062938,0.07407789736500382,0.002058842986800061
46.0,32.5,0.454107446114102,0.003813161507841757,0.03232912155951697,0.4815700247916946,0.028180246026844723
46.0,33.0,0.6972434834014021,0.004988799219466374,0.040233250486141944,0.24175750333848545,0.01577696355450417
46.0,33.5,0.4464043559299526,0.0013734893670391897,0.10303313460889776,0.42679047987103863,0.02239854022307184
46.0,34.0,0.2833965010946169,0.0018023622520638718,0.14119467456648052,0.5451483353105825,0.028458126776256205
46.0,34.5,0.3953746997311719,0.0014951949132802791,0.16144535437328014,0.4227500791143928,0.018934671867874897
46.0,35.0,0.8235565627438293,0.007500023364599621,0.10314186210448233,0.050107170406661024,0.01569438138042771
46.5,29.0,0.0033012445888205965,0.09984739529657834,0.09462071531667468,0.7471539939185301,0.05507665087939626
46.5,29.5,0.00692180064348602,0.06869721762899896,0.09989827931274402,0.7598127814125253,0.06466992100224574
46.5,30.0,0.09277489636869436,0.03985395628525502,0.11568384453155767,0.682392360458178,0.06929494235631499
46.5,30.5,0.14220296408713537,0.018946712735480053,0.06763033756084869,0.6097679425247783,0.1614520430917576
46.5,31.0,0.5211153881050177,0.00234981880310904,0.05464076489389247,0.32687172604533205,0.09502230215264879
46.5,31.5,0.6897824571737676,0.008276144240571118,0.05906081022463382,0.22333159632282237,0.019548992038205072
46.5,32.0,0.4383796717235851,0.018912494067256067,0.20310945436860603,0.320828196536702,0.01877018330385072
46.5,32.5,0.07189767755822422,0.0777754699625992,0.2567952277999233,0.49711434843692937,0.0964172762423239
46.5,33.0,0.018135574554790916,0.14408933361745674,0.3072473206576083,0.49043660122356814,0.04009116994657583
46.5,33.5,0.007648745353297075,0.004637999020917275,0.03506112882972659,0.9203271429625628,0.03232498383349627
46.5,34.0,0.01164240811741877,0.0006339047802589741,0.08008040682644499,0.8913899619969976,0.01625331827887975
46.5,34.5,0.009802735108388728,0.00027856219859551806,0.035868138104999975,0.9324716448950878,0.02157891969292792
46.5,35.0,0.1051179927748866,0.0019179635964519251,0.028436681443191086,0.8442680567796773,0.020259305405792995
46.5,35.5,0.42671381976784134,0.008465080040331361,0.04020858808415117,0.5017414898294265,0.022871022278249723
46.5,36.0,0.6729316005194986,0.0007639493115839261,0.024443312501570814,0.2942652441945924,0.007595893472754286
46.5,36.5,0.8666823041573521,0.00010925068281676762,0.01961449553802213,0.09511536146923634,0.018478588152572528
