LONGITUDE,LATITUDE,LAND_USE_CLASS_0,LAND_USE_CLASS_1,LAND_USE_CLASS_2,LAND_USE_CLASS_3,LAND_USE_CLASS_4
22.9,49.6,0.0,0.4,0.0,0.6,0.0
22.9,49.7,0.0,0.11538461538461539,0.0,0.8076923076923077,0.07692307692307693
22.9,49.8,0.1875,0.125,0.0,0.6875,0.0
23.0,48.0,0.0,0.0,0.0,0.8888888888888888,0.1111111111111111
23.0,48.1,0.13636363636363635,0.7727272727272727,0.0,0.09090909090909091,0.0
23.0,48.2,0.0,0.30434782608695654,0.0,0.6956521739130435,0.0
23.0,48.3,0.0,0.8181818181818182,0.045454545454545456,0.0,0.13636363636363635
23.0,48.4,0.0,0.09523809523809523,0.0,0.5238095238095238,0.38095238095238093
23.0,48.5,0.0,1.0,0.0,0.0,0.0
23.0,48.6,0.0,1.0,0.0,0.0,0.0
23.0,48.7,0.0,1.0,0.0,0.0,0.0
23.0,48.8,0.0,1.0,0.0,0.0,0.0
23.0,48.9,0.0,1.0,0.0,0.0,0.0
23.0,49.0,0.0,0.20833333333333334,0.4166666666666667,0.041666666666666664,0.3333333333333333
23.0,49.1,0.0,0.75,0.1,0.15,0.0
23.0,49.2,0.0,1.0,0.0,0.0,0.0
23.0,49.3,0.0,1.0,0.0,0.0,0.0
23.0,49.4,0.0,0.6190476190476191,0.14285714285714285,0.19047619047619047,0.047619047619047616
23.0,49.5,0.0,0.0,0.0,0.92,0.08
23.0,49.6,0.0,0.0,0.0,1.0,0.0
23.0,49.7,0.0,0.08333333333333333,0.08333333333333333,0.75,0.08333333333333333
23.0,49.8,0.0,0.875,0.0,0.125,0.0
23.0,49.9,0.44,0.56,0.0,0.0,0.0
23.1,48.0,0.0,0.3333333333333333,0.0,0.6666666666666666,0.0
23.1,48.1,0.0,0.0,0.0,1.0,0.0
23.1,48.2,0.0,0.9166666666666666,0.08333333333333333,0.0,0.0
23.1,48.3,0.0,0.15789473684210525,0.0,0.8421052631578947,0.0
23.1,48.4,0.0,1.0,0.0,0.0,0.0
23.1,48.5,0.0,0.8421052631578947,0.10526315789473684,0.0,0.05263157894736842
23.1,48.6,0.0,1.0,0.0,0.0,0.0
23.1,48.7,0.0,0.9090909090909091,0.09090909090909091,0.0,0.0
23.1,48.8,0.0,0.47619047619047616,0.5238095238095238,0.0,0.0
23.1,48.9,0.0,0.6086956521739131,0.391304347826087,0.0,0.0
23.1,49.0,0.0,0.16666666666666666,0.7083333333333334,0.0,0.125
23.1,49.1,0.0,0.25,0.4,0.0,0.35
23.1,49.2,0.0,1.0,0.0,0.0,0.0
23.1,49.3,0.0,1.0,0.0,0.0,0.0
23.1,49.4,0.0,1.0,0.0,0.0,0.0
23.1,49.5,0.0,0.5217391304347826,0.13043478260869565,0.34782608695652173,0.0
23.1,49.6,0.0,0.5294117647058824,0.0,0.47058823529411764,0.0
23.1,49.7,0.0,0.24,0.0,0.76,0.0
23.1,49.8,0.0,0.0,0.13333333333333333,0.8666666666666667,0.0
23.1,49.9,0.0,0.0,0.24,0.36,0.4
23.1,50.0,0.0,0.65,0.0,0.25,0.1
23.2,48.1,0.0,0.045454545454545456,0.22727272727272727,0.5454545454545454,0.18181818181818182
23.2,48.2,0.041666666666666664,0.5,0.125,0.041666666666666664,0.2916666666666667
23.2,48.3,0.0,0.3333333333333333,0.05555555555555555,0.0,0.6111111111111112
23.2,48.4,0.0,1.0,0.0,0.0,0.0
23.2,48.5,0.0,0.6521739130434783,0.34782608695652173,0.0,0.0
23.2,48.6,0.0,0.35,0.65,0.0,0.0
23.2,48.7,0.0,0.88,0.12,0.0,0.0
23.2,48.8,0.0,0.2777777777777778,0.3333333333333333,0.16666666666666666,0.2222222222222222
23.2,48.9,0.0,0.47619047619047616,0.5238095238095238,0.0,0.0
23.2,49.0,0.0,0.75,0.25,0.0,0.0
23.2,49.1,0.0,0.55,0.45,0.0,0.0
23.2,49.2,0.0,1.0,0.0,0.0,0.0
23.2,49.3,0.0,1.0,0.0,0.0,0.0
23.2,49.4,0.0,0.36,0.36,0.28,0.0
23.2,49.5,0.0,0.17391304347826086,0.17391304347826086,0.391304347826087,0.2608695652173913
23.2,49.6,0.0,1.0,0.0,0.0,0.0
23.2,49.7,0.0,0.24,0.0,0.68,0.08
23.2,49.8,0.0,0.0,0.0,0.23529411764705882,0.7647058823529411
23.2,49.9,0.0,0.45454545454545453,0.0,0.5454545454545454,0.0
23.2,50.0,0.0,0.0,0.0,1.0,0.0
23.2,50.1,0.0,0.8947368421052632,0.05263157894736842,0.05263157894736842,0.0
23.3,48.0,0.0,0.0,0.0,0.6,0.4
23.3,48.1,0.0,0.5833333333333334,0.08333333333333333,0.0,0.3333333333333333
23.3,48.2,0.047619047619047616,0.047619047619047616,0.6666666666666666,0.047619047619047616,0.19047619047619047
23.3,48.3,0.0,0.3157894736842105,0.2631578947368421,0.0,0.42105263157894735
23.3,48.4,0.0,0.95,0.05,0.0,0.0
23.3,48.5,0.0,0.44,0.12,0.0,0.44
23.3,48.6,0.0,0.5,0.5,0.0,0.0
23.3,48.7,0.0,0.43478260869565216,0.43478260869565216,0.0,0.13043478260869565
23.3,48.8,0.0,1.0,0.0,0.0,0.0
23.3,48.9,0.0,0.47058823529411764,0.35294117647058826,0.0,0.17647058823529413
23.3,49.0,0.0,1.0,0.0,0.0,0.0
23.3,49.1,0.0,1.0,0.0,0.0,0.0
23.3,49.2,0.10526315789473684,0.7368421052631579,0.05263157894736842,0.05263157894736842,0.05263157894736842
23.3,49.3,0.0,0.42857142857142855,0.5238095238095238,0.0,0.047619047619047616
23.3,49.4,0.0,0.08333333333333333,0.0,0.9166666666666666,0.0
23.3,49.5,0.0,0.15,0.25,0.6,0.0
23.3,49.6,0.0,0.11764705882352941,0.0,0.8823529411764706,0.0
23.3,49.7,0.0,0.0,0.0,1.0,0.0
23.3,49.8,0.0,0.15789473684210525,0.15789473684210525,0.3684210526315789,0.3157894736842105
23.3,49.9,0.0,0.0,0.05555555555555555,0.7222222222222222,0.2222222222222222
23.3,50.0,0.0,0.0,0.0,0.9166666666666666,0.08333333333333333
23.3,50.1,0.0,0.6818181818181818,0.3181818181818182,0.0,0.0
23.4,48.0,0.0,1.0,0.0,0.0,0.0
23.4,48.1,0.04,0.12,0.36,0.48,0.0
23.4,48.2,0.0,0.058823529411764705,0.17647058823529413,0.11764705882352941,0.6470588235294118
23.4,48.3,0.0,0.8181818181818182,0.045454545454545456,0.0,0.13636363636363635
23.4,48.4,0.0,1.0,0.0,0.0,0.0
23.4,48.5,0.0,0.7916666666666666,0.20833333333333334,0.0,0.0
23.4,48.6,0.0,0.6,0.35,0.0,0.05
23.4,48.7,0.0,0.5263157894736842,0.47368421052631576,0.0,0.0
23.4,48.8,0.0,0.9166666666666666,0.08333333333333333,0.0,0.0
23.4,48.9,0.0,0.38095238095238093,0.3333333333333333,0.0,0.2857142857142857
23.4,49.0,0.0,1.0,0.0,0.0,0.0
23.4,49.1,0.0,1.0,0.0,0.0,0.0
23.4,49.2,0.0,0.9583333333333334,0.041666666666666664,0.0,0.0
23.4,49.3,0.0,0.04,0.0,0.0,0.96
23.4,49.4,0.0,0.7058823529411765,0.17647058823529413,0.058823529411764705,0.058823529411764705
23.4,49.5,0.0,0.0,0.10526315789473684,0.7368421052631579,0.15789473684210525
23.4,49.6,0.0,0.0,0.0,1.0,0.0
23.4,49.7,0.0,1.0,0.0,0.0,0.0
23.4,49.8,0.0,0.047619047619047616,0.0,0.7142857142857143,0.23809523809523808
23.4,49.9,0.0,0.75,0.0,0.125,0.125
23.4,50.0,0.0,0.3333333333333333,0.14285714285714285,0.47619047619047616,0.047619047619047616
23.4,50.1,0.0,0.8571428571428571,0.09523809523809523,0.0,0.047619047619047616
23.4,50.2,0.0,0.375,0.0,0.625,0.0
23.5,48.0,0.0,0.3333333333333333,0.6666666666666666,0.0,0.0
23.5,48.1,0.0,0.22727272727272727,0.045454545454545456,0.45454545454545453,0.2727272727272727
23.5,48.2,0.058823529411764705,0.0,0.11764705882352941,0.058823529411764705,0.7647058823529411
23.5,48.3,0.0,0.9545454545454546,0.045454545454545456,0.0,0.0
23.5,48.4,0.0,1.0,0.0,0.0,0.0
23.5,48.5,0.09090909090909091,0.5,0.0,0.0,0.4090909090909091
23.5,48.6,0.0,0.9166666666666666,0.08333333333333333,0.0,0.0
23.5,48.7,0.0,0.9375,0.0625,0.0,0.0
23.5,48.8,0.0,0.9047619047619048,0.09523809523809523,0.0,0.0
23.5,48.9,0.0,0.19047619047619047,0.5238095238095238,0.0,0.2857142857142857
23.5,49.0,0.0,1.0,0.0,0.0,0.0
23.5,49.1,0.0,0.96,0.04,0.0,0.0
23.5,49.2,0.0,0.6842105263157895,0.3157894736842105,0.0,0.0
23.5,49.3,0.0,0.3157894736842105,0.6842105263157895,0.0,0.0
23.5,49.4,0.0,0.0,0.0,0.8823529411764706,0.11764705882352941
23.5,49.5,0.0,0.0,0.0,0.7083333333333334,0.2916666666666667
23.5,49.6,0.0,0.0,0.0,1.0,0.0
23.5,49.7,0.0,0.18181818181818182,0.3181818181818182,0.4090909090909091,0.09090909090909091
23.5,49.8,0.0,0.0,0.0,0.84,0.16
23.5,49.9,0.25,0.0,0.0,0.5625,0.1875
23.5,50.0,0.0,0.8333333333333334,0.0,0.0,0.16666666666666666
23.5,50.1,0.0,1.0,0.0,0.0,0.0
