LATITUDE,LONGITUDE,ACQ_DATE
47.6256,34.3285,2007-01-01
47.1543,37.5357,2007-01-01
48.0457,37.9464,2007-01-01
47.0959,37.603,2007-01-01
49.2953,23.7481,2007-01-02
49.2903,24.4442,2007-01-05
47.3981,36.306,2007-01-06
47.3933,36.309,2007-01-06
45.4002,29.7042,2007-01-13
47.0967,37.5938,2007-01-13
47.88,35.1557,2007-01-13
50.7069,31.7558,2007-01-14
48.4474,28.0998,2007-01-14
48.4381,28.1024,2007-01-14
51.3079,30.9344,2007-01-14
50.2413,30.5578,2007-01-14
50.2431,30.5773,2007-01-14
49.0049,25.018,2007-01-14
48.9178,24.9983,2007-01-14
49.0029,25.0046,2007-01-14
48.996,25.0211,2007-01-14
45.4093,29.733,2007-01-14
48.137,26.29,2007-01-14
48.9198,25.0118,2007-01-14
45.4065,29.7392,2007-01-14
50.7085,31.7609,2007-01-14
45.4215,29.6711,2007-01-14
45.4343,29.6975,2007-01-14
50.654,29.7194,2007-01-14
45.3859,29.7083,2007-01-14
45.3876,29.6932,2007-01-14
46.1083,32.484,2007-01-14
46.4964,33.03,2007-01-14
45.3825,29.7007,2007-01-14
46.4946,33.0088,2007-01-14
45.3852,29.6414,2007-01-14
45.4265,29.7141,2007-01-14
45.4553,29.3864,2007-01-14
45.3448,28.7233,2007-01-14
45.4232,29.6854,2007-01-14
45.3808,29.6864,2007-01-14
48.2875,26.3097,2007-01-15
49.6849,23.7362,2007-01-15
49.0694,23.9788,2007-01-15
49.0717,23.9834,2007-01-15
50.937,28.4686,2007-01-15
50.9277,28.4603,2007-01-15
49.163,23.8176,2007-01-15
48.2893,26.3479,2007-01-15
48.3311,26.3053,2007-01-15
48.1252,29.4838,2007-01-15
48.2897,26.3427,2007-01-15
48.2881,26.3044,2007-01-15
48.3316,26.3,2007-01-15
49.6795,23.8576,2007-01-15
48.5262,26.0025,2007-01-15
46.4854,30.064,2007-01-15
47.905,30.5312,2007-01-15
47.1597,30.2236,2007-01-15
48.4322,25.5056,2007-01-15
48.3293,26.2678,2007-01-15
48.5897,25.7296,2007-01-15
49.245,24.0423,2007-01-15
48.602,25.6919,2007-01-15
49.2405,24.0213,2007-01-15
45.3976,29.6774,2007-01-15
49.4275,23.6696,2007-01-15
47.473,31.4191,2007-01-15
50.9677,28.358,2007-01-15
50.9589,28.3497,2007-01-15
48.959,28.0772,2007-01-15
48.5627,24.9372,2007-01-15
48.5645,24.97,2007-01-15
