LATITUDE,LONGITUDE,ACQ_DATE
47.8587,33.4466,2013-01-01
47.86842,35.16312,2013-01-01
48.165157,37.705227,2013-01-01
48.169838,37.698555,2013-01-01
48.17231,37.69804,2013-01-01
47.818691,33.352337,2013-01-01
47.873432,33.389488,2013-01-01
47.884747,33.445663,2013-01-01
47.869781,33.390846,2013-01-01
48.488297,34.973194,2013-01-01
48.488976,34.97897,2013-01-01
48.521194,34.631542,2013-01-01
48.475609,38.768524,2013-01-01
47.861134,33.452019,2013-01-01
47.860291,33.4501,2013-01-01
47.868618,33.388794,2013-01-01
47.094818,37.602825,2013-01-01
48.489433,34.972244,2013-01-01
48.214458,38.246262,2013-01-01
47.876919,33.413372,2013-01-01
48.163723,37.703838,2013-01-01
47.868889,35.156712,2013-01-01
47.879795,35.190929,2013-01-01
47.860977,35.142349,2013-01-01
47.861607,33.444347,2013-01-01
47.843254,33.408642,2013-01-01
48.475571,34.63435,2013-01-01
47.877361,33.405647,2013-01-01
48.471012,34.633606,2013-01-01
47.094284,37.60181,2013-01-01
47.098186,37.602688,2013-01-01
47.16246,37.557472,2013-01-01
48.494759,38.808254,2013-01-01
48.213932,38.247265,2013-01-01
48.481766,38.784061,2013-01-01
48.167664,37.704712,2013-01-01
48.482746,38.784744,2013-01-01
48.476646,38.76923,2013-01-01
49.389107,23.488232,2013-01-01
49.676411,22.843924,2013-01-01
49.67606,22.844696,2013-01-01
49.633301,22.783323,2013-01-01
49.629219,22.839531,2013-01-01
48.603825,24.522087,2013-01-01
49.548409,23.367765,2013-01-01
47.163712,37.529156,2013-01-01
47.87484,35.163475,2013-01-01
47.874397,35.162777,2013-01-01
47.877403,35.154629,2013-01-01
47.87788,35.155357,2013-01-01
47.88448,33.449898,2013-01-01
48.532505,34.644787,2013-01-01
47.870544,33.384651,2013-01-01
49.549892,23.365017,2013-01-01
49.574284,23.41263,2013-01-01
49.351597,23.335596,2013-01-01
48.479694,38.776985,2013-01-01
48.46603,38.759712,2013-01-01
48.4608,38.772633,2013-01-01
48.478687,38.776299,2013-01-01
47.865974,33.43528,2013-01-01
49.556107,23.243805,2013-01-01
49.451393,23.142115,2013-01-01
47.096779,37.601868,2013-01-01
47.09724,37.607803,2013-01-01
47.092922,37.608582,2013-01-01
47.092457,37.602585,2013-01-01
49.450191,23.136042,2013-01-01
49.446728,23.137695,2013-01-01
49.306648,23.403027,2013-01-01
49.348137,23.337198,2013-01-01
48.462978,38.751938,2013-01-01
48.487144,34.978195,2013-01-01
47.868027,33.39183,2013-01-01
49.5278,22.7862,2013-01-01
48.168156,30.619146,2013-01-02
48.162857,30.611404,2013-01-02
49.183559,23.660601,2013-01-02
49.484272,23.42709,2013-01-02
47.160229,37.56078,2013-01-02
47.156757,37.53183,2013-01-02
48.913311,23.90204,2013-01-02
48.911938,23.896282,2013-01-02
48.459038,38.770546,2013-01-02
47.160923,37.566578,2013-01-02
47.09359,37.606976,2013-01-02
47.091927,37.608002,2013-01-02
48.165207,30.618553,2013-01-02
48.16473,30.624884,2013-01-02
48.163342,30.625622,2013-01-02
47.876598,35.160091,2013-01-02
48.166641,30.617802,2013-01-02
48.1691,30.6125,2013-01-02
47.867954,35.167179,2013-01-02
47.869671,35.161709,2013-01-02
47.159309,37.565609,2013-01-02
49.243225,23.791986,2013-01-02
49.527596,22.996347,2013-01-02
48.162952,30.619896,2013-01-02
49.629368,22.813126,2013-01-02
49.385166,23.47934,2013-01-02
49.991928,35.713711,2013-01-02
48.519638,34.631721,2013-01-02
48.492737,34.978027,2013-01-02
48.487656,34.974258,2013-01-02
48.519508,34.63097,2013-01-02
49.196636,23.68745,2013-01-02
48.1683,30.6193,2013-01-02
47.631119,34.327923,2013-01-02
48.166595,30.616371,2013-01-03
47.161572,37.556553,2013-01-03
47.162872,37.559509,2013-01-03
47.094585,37.603378,2013-01-03
47.088955,37.603855,2013-01-03
47.161495,37.563522,2013-01-03
47.868706,35.159969,2013-01-03
47.629459,34.325298,2013-01-03
47.866753,35.149147,2013-01-03
48.162899,30.614534,2013-01-03
48.471279,24.604681,2013-01-03
47.090763,37.602516,2013-01-04
47.089966,37.60815,2013-01-04
47.095562,37.604427,2013-01-04
47.096992,37.598625,2013-01-04
47.092705,37.616005,2013-01-04
47.088547,37.613911,2013-01-04
47.094143,37.610165,2013-01-04
48.461506,22.251059,2013-01-07
48.46492,22.253689,2013-01-07
48.44788,22.25193,2013-01-07
47.095924,37.607563,2013-01-10
48.165173,30.616846,2013-01-11
48.163296,30.617628,2013-01-12
48.168262,30.620972,2013-01-12
48.165016,30.615301,2013-01-12
47.16095,37.563454,2013-01-13
47.094906,37.609333,2013-01-13
47.095116,37.604431,2013-01-13
47.089813,37.603722,2013-01-13
47.095314,37.599644,2013-01-13
47.090012,37.598961,2013-01-13
48.164703,30.620783,2013-01-13
48.165123,30.6161,2013-01-14
47.095169,37.59613,2013-01-14
47.097015,37.606609,2013-01-14
47.093689,37.607841,2013-01-14
47.090363,37.609081,2013-01-14
47.871262,33.390751,2013-01-15
48.493458,38.80759,2013-01-15
48.213585,38.247616,2013-01-16
47.09251,37.604286,2013-01-16
48.460499,38.776062,2013-01-16
48.060181,37.955902,2013-01-20
47.174114,31.757244,2013-01-20
47.6269,34.3277,2013-01-22
48.21,38.2521,2013-01-22
48.2081,38.2388,2013-01-22
47.8694,33.3868,2013-01-22
48.462162,38.773354,2013-01-22
48.459904,38.774166,2013-01-22
48.21331,38.244869,2013-01-22
47.870926,33.391567,2013-01-22
48.211975,38.248177,2013-01-22
48.172443,37.698338,2013-01-22
47.868538,33.447117,2013-01-22
48.490486,34.973732,2013-01-22
47.870693,33.347992,2013-01-22
48.490963,34.979477,2013-01-22
47.208141,37.55547,2013-01-23
47.162411,37.530926,2013-01-23
47.099178,37.596748,2013-01-23
47.209766,37.558064,2013-01-23
47.096203,37.604851,2013-01-23
47.09399,37.60857,2013-01-23
47.093193,37.613045,2013-01-23
47.096973,37.600323,2013-01-23
48.165642,30.62133,2013-01-24
48.166904,30.615995,2013-01-24
47.156929,37.534939,2013-01-25
47.091602,37.61039,2013-01-25
47.097809,37.605991,2013-01-25
47.20927,37.559177,2013-01-25
47.159431,37.562897,2013-01-25
47.16116,37.556236,2013-01-25
47.159317,37.524612,2013-01-25
47.155865,37.52932,2013-01-25
47.203171,37.548954,2013-01-25
47.163685,37.527111,2013-01-25
48.164852,30.618706,2013-01-31
48.16811,30.619875,2013-01-31
48.165226,30.618778,2013-01-31
47.873734,33.387169,2013-02-01
47.869884,33.386292,2013-02-01
49.989326,35.708946,2013-02-01
49.992924,35.709969,2013-02-01
47.869179,33.393387,2013-02-01
47.62986,34.323967,2013-02-01
47.633545,34.324867,2013-02-01
47.204395,37.552307,2013-02-01
48.167675,30.616928,2013-02-01
