LATITUDE,LONGITUDE,ACQ_DATE
47.0148,32.1187,2009-01-09
47.1407,32.2137,2009-01-11
47.3143,31.7261,2009-01-11
47.2258,32.2346,2009-01-13
45.3515,28.9267,2009-01-21
45.3534,28.9393,2009-01-21
47.8647,33.4484,2009-01-24
47.6205,34.3273,2009-01-25
49.1327,26.6972,2009-02-07
51.4025,24.4677,2009-02-07
49.8123,24.7074,2009-02-08
45.4324,29.5048,2009-02-09
47.8578,33.446,2009-02-14
47.628,34.3181,2009-02-14
46.3993,33.002,2009-02-17
45.8497,33.7969,2009-02-17
45.4432,29.1422,2009-02-17
45.3587,28.9638,2009-02-18
45.9171,34.167,2009-02-19
45.846,33.8222,2009-02-19
48.9484,38.4234,2009-02-19
48.9466,38.4089,2009-02-19
48.8,38.3292,2009-02-19
48.1648,30.6283,2009-02-20
46.2175,33.2999,2009-02-20
46.2157,33.2781,2009-02-20
47.8577,33.4399,2009-02-20
47.8812,35.158,2009-02-20
47.6281,34.1567,2009-02-20
46.6037,32.6582,2009-02-21
46.5454,32.4958,2009-02-22
47.2512,33.644,2009-02-22
47.2526,33.6509,2009-02-22
46.8705,32.6192,2009-02-23
46.8899,36.4059,2009-02-24
47.7975,32.5322,2009-02-24
48.2787,33.9532,2009-02-24
47.8042,33.0574,2009-02-24
47.8669,33.39,2009-02-24
47.6275,34.33,2009-02-24
47.6257,34.3159,2009-02-24
47.8616,33.4495,2009-02-24
46.9176,35.8876,2009-02-24
46.8916,36.422,2009-02-24
47.9146,29.5151,2009-02-26
49.6256,32.9355,2009-02-26
49.6235,32.9218,2009-02-26
49.0572,32.7628,2009-02-26
48.0831,31.0745,2009-02-26
48.528,32.8366,2009-02-26
49.641,32.9734,2009-02-26
45.4444,29.4882,2009-02-26
49.0483,32.7662,2009-02-26
47.1465,29.825,2009-02-26
49.3128,32.2633,2009-02-26
46.0471,29.1103,2009-02-26
47.1203,30.2565,2009-02-26
47.1111,30.254,2009-02-26
47.7384,29.3964,2009-02-26
47.6919,30.0398,2009-02-26
46.051,29.1294,2009-02-26
47.4982,29.3768,2009-02-26
47.695,30.0563,2009-02-26
47.6019,30.121,2009-02-26
47.5987,30.1045,2009-02-26
47.3584,29.5259,2009-02-27
47.3481,29.5283,2009-02-27
47.9462,33.7164,2009-02-27
47.921,31.8916,2009-02-27
47.8632,33.4285,2009-02-27
47.9129,31.9418,2009-02-27
47.4697,29.8308,2009-02-27
47.4679,29.8124,2009-02-27
48.0191,32.4767,2009-02-27
48.021,32.5028,2009-02-27
48.2807,34.6311,2009-02-27
48.0535,32.7929,2009-02-27
46.8481,33.1376,2009-02-28
47.8706,33.4519,2009-02-28
47.2624,33.0501,2009-02-28
48.1686,33.64,2009-02-28
47.5834,32.9813,2009-02-28
46.8615,33.1505,2009-02-28
46.8515,33.1547,2009-02-28
45.4016,29.6344,2009-02-28
48.5599,32.1214,2009-02-28
47.0615,32.7299,2009-02-28
47.0999,32.5078,2009-02-28
47.8596,33.4476,2009-02-28
47.7249,32.817,2009-02-28
47.9941,33.0278,2009-02-28
46.8581,33.1335,2009-02-28
47.4965,30.7672,2009-03-01
47.3938,30.4699,2009-03-01
47.3921,30.455,2009-03-01
45.5147,28.9133,2009-03-01
48.8457,32.953,2009-03-01
48.8404,32.9406,2009-03-01
45.4825,28.9488,2009-03-01
48.8423,32.9607,2009-03-01
47.4192,31.6205,2009-03-01
47.4249,29.8721,2009-03-01
47.5461,32.3457,2009-03-01
47.8459,29.763,2009-03-01
47.4978,30.0002,2009-03-01
