LATITUDE,LONGITUDE,ACQ_DATE
48.2113,38.2567,2000-11-01
50.6798,24.3879,2000-11-01
49.8929,29.2202,2000-11-01
49.5695,23.4383,2000-11-01
49.548,23.517,2000-11-01
49.5459,23.5306,2000-11-01
48.7496,29.1788,2000-11-01
48.973,29.6982,2000-11-01
51.0557,25.474,2000-11-01
51.2204,25.3219,2000-11-01
50.674,25.4001,2000-11-01
50.5311,25.5214,2000-11-01
51.0532,25.4886,2000-11-01
47.1553,37.5356,2000-11-01
48.4833,38.7947,2000-11-01
51.1641,25.385,2000-11-01
48.739,29.1738,2000-11-01
49.4079,37.0007,2000-11-02
49.7475,37.2753,2000-11-02
47.1579,37.5588,2000-11-04
47.1039,37.6191,2000-11-04
47.0967,37.6033,2000-11-04
49.8138,24.7177,2000-11-05
48.564,26.0676,2000-11-05
48.6396,24.5621,2000-11-08
48.6425,24.5465,2000-11-08
48.6288,38.2109,2000-11-09
45.8173,33.5578,2000-11-09
45.8864,33.7173,2000-11-09
45.8896,33.758,2000-11-09
48.1663,36.5505,2000-11-09
49.6895,38.0546,2000-11-09
48.1686,36.5367,2000-11-09
45.8085,33.5552,2000-11-09
47.172,37.5485,2000-11-09
45.8066,33.5678,2000-11-09
48.1871,37.6442,2000-11-10
49.4565,38.5909,2000-11-11
48.6274,36.7003,2000-11-11
48.8683,36.9635,2000-11-11
47.1019,37.6079,2000-11-12
49.4679,36.9218,2000-11-14
47.0959,37.6001,2000-11-15
47.1582,37.5365,2000-11-15
47.1562,37.5235,2000-11-15
47.868,33.4485,2000-11-15
47.8685,33.3952,2000-11-15
48.4644,38.7697,2000-11-15
46.5264,30.7093,2000-11-16
47.6258,34.3206,2000-11-16
46.5194,30.7014,2000-11-16
47.1511,37.534,2000-11-16
45.8333,33.8241,2000-11-16
46.5281,30.696,2000-11-16
48.5179,34.6292,2000-11-16
49.5974,35.5123,2000-11-16
50.1494,36.398,2000-11-16
49.5998,35.4982,2000-11-16
49.4842,36.9187,2000-11-16
46.9868,32.5023,2000-11-16
50.1719,29.3705,2000-11-17
49.9002,35.1127,2000-11-18
49.1757,36.0013,2000-11-18
48.2116,38.2436,2000-11-19
47.0969,37.5913,2000-11-20
47.0951,37.6045,2000-11-20
48.2175,38.2458,2000-11-27
49.6357,37.6383,2000-11-28
45.435,29.5985,2000-12-10
47.8669,33.4503,2000-12-17
47.0985,37.5961,2000-12-18
48.4903,34.9679,2000-12-22
48.4629,38.7729,2000-12-24
47.8703,33.4567,2000-12-24
47.1591,37.5624,2000-12-29
47.1542,37.5337,2000-12-29
48.5247,34.6312,2000-12-29
48.5153,34.6287,2000-12-29
47.0958,37.5949,2000-12-30
