LATITUDE,LONGITUDE,ACQ_DATE
48.2185,38.2466,2003-01-02
48.4637,38.7811,2003-01-02
47.8707,33.4629,2003-01-04
47.8725,33.4496,2003-01-04
47.1562,37.5231,2003-01-09
47.1599,37.5364,2003-01-13
47.151,37.5338,2003-01-13
48.5183,34.6653,2003-01-18
51.8872,25.7079,2003-01-18
51.8986,25.717,2003-01-18
47.164,37.563,2003-01-18
47.0965,37.5991,2003-01-26
46.5788,32.5127,2003-03-03
45.318,36.228,2003-03-12
45.3197,36.2425,2003-03-12
48.491,34.9717,2003-03-16
47.8695,33.4532,2003-03-16
47.6305,34.3207,2003-03-16
47.8687,33.4501,2003-03-16
47.6267,34.3234,2003-03-16
50.601,33.3591,2003-03-16
50.9842,30.0209,2003-03-16
49.8297,24.1021,2003-03-17
46.1663,33.0505,2003-03-17
45.5483,34.8267,2003-03-17
45.4509,34.8769,2003-03-17
45.4525,34.8907,2003-03-17
45.4528,34.8976,2003-03-17
45.4837,29.4113,2003-03-17
45.5586,29.4253,2003-03-17
45.316,28.785,2003-03-17
45.4778,29.4239,2003-03-17
45.4811,29.407,2003-03-17
46.128,29.7317,2003-03-17
46.1247,29.7486,2003-03-17
45.4868,29.4151,2003-03-17
49.6738,32.8026,2003-03-17
45.4705,29.1838,2003-03-17
45.1516,36.3099,2003-03-18
45.5669,34.8313,2003-03-18
45.5683,34.8472,2003-03-18
45.5714,34.8525,2003-03-18
45.1553,36.3284,2003-03-18
45.8323,33.7026,2003-03-18
45.4408,34.9012,2003-03-18
45.4454,34.8942,2003-03-18
45.3981,36.2502,2003-03-18
45.4425,34.8868,2003-03-18
45.5598,34.867,2003-03-18
45.7973,33.6449,2003-03-18
48.1953,22.6701,2003-03-20
45.4825,29.3561,2003-03-21
49.9472,23.4955,2003-03-22
49.8387,23.7926,2003-03-22
49.9454,23.4815,2003-03-22
51.4593,24.0251,2003-03-22
49.9469,23.422,2003-03-22
51.2252,23.8941,2003-03-22
51.4946,28.3372,2003-03-22
49.844,23.1972,2003-03-22
51.3994,23.8903,2003-03-22
50.1437,24.0852,2003-03-22
51.3975,23.8751,2003-03-22
51.6589,26.9501,2003-03-22
51.4245,24.7158,2003-03-22
51.3944,24.7081,2003-03-22
50.9014,25.3897,2003-03-22
51.9041,25.8307,2003-03-22
51.8565,25.0851,2003-03-22
51.1762,28.8698,2003-03-22
51.5356,27.0125,2003-03-22
51.8993,25.9805,2003-03-22
51.8666,25.4775,2003-03-22
51.8799,25.3953,2003-03-22
51.8781,25.378,2003-03-22
49.576,23.695,2003-03-22
50.599,24.6023,2003-03-22
51.0195,28.629,2003-03-22
51.5705,27.0443,2003-03-22
50.8495,24.5156,2003-03-22
50.9582,28.7615,2003-03-22
51.8834,24.9176,2003-03-22
51.8771,25.4361,2003-03-22
51.4287,25.6648,2003-03-22
51.9001,25.725,2003-03-22
51.1061,29.6867,2003-03-22
51.1169,29.6927,2003-03-22
51.8853,26.0836,2003-03-22
51.5594,27.0391,2003-03-22
51.4164,24.729,2003-03-22
50.2463,24.8483,2003-03-22
50.9993,25.1282,2003-03-22
49.7702,24.5752,2003-03-22
49.9467,23.4389,2003-03-22
50.8545,24.5071,2003-03-22
50.1602,28.5049,2003-03-22
50.395,29.7592,2003-03-22
47.9404,29.3445,2003-03-22
50.3596,29.9592,2003-03-22
49.9443,29.7269,2003-03-22
49.1711,24.4883,2003-03-22
51.1048,24.0854,2003-03-22
51.1807,24.077,2003-03-22
48.2629,22.7058,2003-03-22
49.9491,23.4246,2003-03-22
49.6426,23.1886,2003-03-22
50.5441,28.6707,2003-03-23
47.8699,33.4505,2003-03-23
51.1431,28.8527,2003-03-23
51.4784,28.0615,2003-03-23
50.2878,29.3297,2003-03-23
50.1219,24.4694,2003-03-23
50.9073,28.6362,2003-03-23
50.2838,29.3104,2003-03-23
50.8777,28.9014,2003-03-23
50.0969,29.3268,2003-03-23
51.5724,27.6953,2003-03-23
51.5768,27.6902,2003-03-23
50.8745,28.2413,2003-03-23
51.4496,27.968,2003-03-23
51.4514,27.9436,2003-03-23
51.453,27.9615,2003-03-23
50.9854,31.6308,2003-03-23
45.4356,29.5991,2003-03-23
51.4464,24.8326,2003-03-24
51.6061,28.1606,2003-03-24
50.8362,27.5513,2003-03-24
51.6114,26.8764,2003-03-24
51.2168,28.3131,2003-03-24
51.5851,28.1494,2003-03-24
50.1647,24.6341,2003-03-24
51.6151,26.9071,2003-03-24
51.3585,24.5447,2003-03-24
51.2186,28.3296,2003-03-24
50.3495,25.3451,2003-03-24
50.3365,25.4513,2003-03-24
51.1909,28.1678,2003-03-24
51.6042,28.1439,2003-03-24
51.2342,27.7323,2003-03-24
51.1351,28.3073,2003-03-24
51.1943,28.3076,2003-03-24
51.1333,28.2909,2003-03-24
51.5513,28.0225,2003-03-24
51.0073,28.1652,2003-03-24
51.5418,28.0253,2003-03-24
51.5112,26.9612,2003-03-24
51.5055,28.0751,2003-03-24
51.513,26.8971,2003-03-24
51.0866,28.1356,2003-03-24
51.1771,27.8713,2003-03-24
51.3009,28.0618,2003-03-24
51.6075,27.4484,2003-03-24
51.8812,24.7636,2003-03-24
49.5627,23.4409,2003-03-24
50.8156,25.7707,2003-03-24
50.9727,28.2307,2003-03-24
50.5755,29.745,2003-03-24
50.5855,29.7425,2003-03-24
49.5113,23.2979,2003-03-24
50.5373,28.6189,2003-03-24
49.7983,23.1086,2003-03-24
49.8383,23.0111,2003-03-24
49.8947,23.1242,2003-03-24
49.5605,23.427,2003-03-24
49.5957,23.3042,2003-03-24
49.5729,23.1641,2003-03-24
49.5159,23.385,2003-03-24
49.5219,23.5369,2003-03-24
51.4444,24.8185,2003-03-24
49.7592,24.5308,2003-03-24
50.0135,24.8103,2003-03-24
49.7504,24.534,2003-03-24
49.7612,24.5444,2003-03-24
49.7524,24.5476,2003-03-24
50.0115,24.7966,2003-03-24
51.3197,24.9204,2003-03-24
51.8526,25.021,2003-03-24
50.9124,24.5414,2003-03-24
50.5969,24.6077,2003-03-24
50.5989,24.6216,2003-03-24
51.8662,24.8501,2003-03-24
51.8349,25.7947,2003-03-24
51.8772,24.735,2003-03-24
49.7517,24.4185,2003-03-24
51.4814,26.9296,2003-03-24
51.1639,29.0584,2003-03-24
51.496,28.0778,2003-03-24
50.1029,24.1003,2003-03-24
50.105,24.114,2003-03-24
51.3062,24.0531,2003-03-24
51.5444,24.2185,2003-03-24
51.5464,24.2326,2003-03-24
50.1692,23.9815,2003-03-24
50.1694,24.2937,2003-03-24
50.0825,23.8453,2003-03-24
49.973,23.3771,2003-03-24
50.1138,24.1108,2003-03-24
50.0259,23.6616,2003-03-24
50.1792,23.7434,2003-03-24
50.3445,24.1586,2003-03-24
50.3487,23.755,2003-03-24
50.0648,23.8519,2003-03-24
50.9168,24.1281,2003-03-24
50.9893,24.3002,2003-03-24
50.9646,24.1327,2003-03-24
51.3041,24.039,2003-03-24
51.2109,29.111,2003-03-24
51.1402,29.8128,2003-03-24
51.502,26.9641,2003-03-24
51.5131,26.9765,2003-03-24
51.0466,28.8105,2003-03-24
51.1958,28.7751,2003-03-24
51.1977,28.7922,2003-03-24
51.1658,29.0759,2003-03-24
50.5354,28.6025,2003-03-24
50.9188,24.142,2003-03-24
51.5073,28.0916,2003-03-24
51.0907,24.1092,2003-03-24
50.8696,24.3717,2003-03-24
51.4704,26.9172,2003-03-24
51.2275,28.0565,2003-03-24
51.66,25.5164,2003-03-24
51.6581,25.5019,2003-03-24
51.8608,25.4949,2003-03-24
51.8905,26.0072,2003-03-24
51.8374,25.6711,2003-03-24
51.8628,25.5095,2003-03-24
50.9968,29.6091,2003-03-24
50.7622,28.2524,2003-03-24
51.0069,29.6066,2003-03-24
50.6732,27.5644,2003-03-24
50.6044,24.5321,2003-03-24
50.9172,24.5103,2003-03-24
50.9314,28.9715,2003-03-24
50.9979,28.5459,2003-03-24
50.9997,28.5626,2003-03-24
50.975,28.518,2003-03-24
50.9654,28.5206,2003-03-24
50.8608,24.375,2003-03-24
50.2008,24.4418,2003-03-24
