LATITUDE,LONGITUDE,ACQ_DATE
47.8801,35.1924,2006-01-05
48.4831,34.979,2006-01-06
49.9806,35.5409,2006-01-07
49.9781,35.5352,2006-01-07
49.7409,33.2859,2006-01-07
49.7426,33.2889,2006-01-07
46.2716,29.312,2006-01-08
51.3334,29.045,2006-01-11
47.6299,34.3194,2006-01-11
46.5082,32.483,2006-01-11
46.4936,32.4454,2006-01-11
46.5087,32.4774,2006-01-11
46.5352,32.4992,2006-01-11
46.5064,32.4631,2006-01-11
46.8142,32.7895,2006-01-12
47.0475,36.2017,2006-01-12
47.0448,36.1867,2006-01-12
46.5432,32.4754,2006-02-04
45.6774,28.5758,2006-02-05
46.5813,32.6575,2006-02-05
46.4711,30.172,2006-02-05
46.5994,32.6586,2006-02-07
45.4605,29.5382,2006-02-07
45.4545,29.5389,2006-02-07
45.9066,29.623,2006-02-08
45.4821,29.4432,2006-02-08
46.5495,32.4701,2006-02-08
46.5324,32.428,2006-02-08
46.534,32.4712,2006-02-08
46.1946,32.7512,2006-02-09
46.4869,30.1464,2006-02-09
46.6339,33.1268,2006-02-09
46.632,33.1139,2006-02-09
46.6428,33.124,2006-02-09
46.5816,32.667,2006-02-09
46.5789,32.5304,2006-02-09
46.1849,32.7475,2006-02-09
46.1926,32.7382,2006-02-09
46.581,32.5435,2006-02-09
47.0942,37.5971,2006-02-17
48.4839,34.9748,2006-02-21
45.4865,29.5121,2006-02-21
45.4954,29.5097,2006-02-21
45.3574,28.9693,2006-02-21
45.0264,34.7462,2006-02-22
45.0907,34.9096,2006-02-22
45.1018,34.9045,2006-02-22
45.0973,34.8834,2006-02-22
46.7753,33.5301,2006-03-01
46.7663,33.5327,2006-03-01
46.7741,33.5393,2006-03-01
47.1542,37.5413,2006-03-01
47.4416,34.3614,2006-03-02
47.8671,33.4457,2006-03-02
45.4444,29.4755,2006-03-05
45.4339,29.5037,2006-03-05
45.4308,29.4685,2006-03-05
45.4142,34.9328,2006-03-06
45.284,34.0432,2006-03-06
45.7145,34.7737,2006-03-06
45.5481,34.8385,2006-03-06
45.5462,34.8258,2006-03-06
45.2819,34.0302,2006-03-06
45.5267,34.9973,2006-03-06
45.454,34.887,2006-03-06
45.5362,34.8822,2006-03-06
45.4122,34.9201,2006-03-06
45.5298,34.9565,2006-03-06
45.0215,34.7347,2006-03-06
45.2907,34.0344,2006-03-06
45.0245,34.0107,2006-03-06
45.3165,35.14,2006-03-06
45.0357,34.7194,2006-03-06
45.8772,34.4308,2006-03-06
45.4436,34.8927,2006-03-06
45.5751,34.8423,2006-03-06
45.2885,34.0476,2006-03-06
45.3186,36.1082,2006-03-06
45.5843,34.8456,2006-03-06
45.5819,34.8594,2006-03-06
45.5727,34.8562,2006-03-06
45.446,34.4742,2006-03-06
45.4701,29.4911,2006-03-09
46.5744,32.5121,2006-03-09
46.5623,32.5065,2006-03-09
45.4628,29.3123,2006-03-09
46.5688,32.5162,2006-03-09
45.4703,29.496,2006-03-09
47.0967,37.5956,2006-03-10
47.098,37.606,2006-03-12
47.1524,37.5612,2006-03-12
47.0962,37.5929,2006-03-12
47.0999,37.6067,2006-03-12
47.1017,37.5905,2006-03-12
47.3925,36.3097,2006-03-13
48.214,38.245,2006-03-19
48.0476,37.9394,2006-03-19
45.5016,29.3698,2006-03-20
45.8555,29.23,2006-03-20
45.3124,28.5402,2006-03-20
45.8499,29.2234,2006-03-20
45.9351,29.0767,2006-03-20
45.8524,29.2378,2006-03-20
45.4881,28.46,2006-03-20
47.1892,30.4749,2006-03-20
47.1871,30.4879,2006-03-20
46.6364,33.1776,2006-03-20
45.984,29.3093,2006-03-20
46.3605,29.0613,2006-03-21
46.3587,29.0389,2006-03-21
45.4836,29.4063,2006-03-21
47.5579,29.6851,2006-03-21
45.4907,29.4235,2006-03-21
47.032,32.3922,2006-03-21
47.052,31.4875,2006-03-21
47.324,31.6756,2006-03-21
47.3296,31.6329,2006-03-21
47.3222,31.6424,2006-03-21
46.5356,32.5444,2006-03-21
46.2767,33.078,2006-03-21
47.0537,31.5199,2006-03-21
47.0981,37.6102,2006-03-21
47.0961,37.5972,2006-03-21
47.8651,33.4557,2006-03-21
47.8567,33.4471,2006-03-21
47.3312,31.6663,2006-03-21
47.5598,29.7112,2006-03-21
46.3531,29.0345,2006-03-21
45.489,29.4005,2006-03-21
45.4713,29.1739,2006-03-21
48.4626,38.7742,2006-03-21
47.1673,37.5208,2006-03-21
47.1654,37.5398,2006-03-21
45.4331,29.1344,2006-03-21
45.4296,29.1278,2006-03-21
45.3038,28.765,2006-03-21
46.72,35.2232,2006-03-21
47.1656,35.5655,2006-03-21
45.4414,29.1015,2006-03-21
47.8526,33.4325,2006-03-21
47.8527,33.428,2006-03-21
46.3741,33.4071,2006-03-21
46.3548,29.057,2006-03-21
45.4503,28.8717,2006-03-21
45.4854,29.4293,2006-03-21
45.4468,28.867,2006-03-21
47.1605,35.5611,2006-03-21
46.347,29.0406,2006-03-21
47.0958,37.5908,2006-03-22
46.4018,32.7881,2006-03-22
46.5029,32.9516,2006-03-22
46.2693,32.0802,2006-03-22
46.1794,33.134,2006-03-22
46.4042,32.802,2006-03-22
46.496,32.9103,2006-03-22
46.4796,33.3113,2006-03-22
46.1703,33.1372,2006-03-22
45.7124,29.1207,2006-03-22
46.5209,32.8282,2006-03-22
45.488,29.298,2006-03-22
47.6121,30.6879,2006-03-22
47.01,29.7393,2006-03-22
47.325,29.4505,2006-03-22
47.3214,29.4325,2006-03-22
47.6159,29.4554,2006-03-22
47.0019,29.7294,2006-03-22
45.5418,29.4358,2006-03-22
45.5469,29.5161,2006-03-22
48.1627,30.612,2006-03-22
49.5397,31.761,2006-03-22
47.8671,33.4517,2006-03-22
46.1589,33.2991,2006-03-22
45.492,29.3175,2006-03-22
46.6286,33.4812,2006-03-22
45.4531,29.3508,2006-03-22
47.8612,33.4451,2006-03-22
48.7986,33.5616,2006-03-22
45.8234,33.6657,2006-03-22
45.8279,33.4626,2006-03-22
47.3446,29.4996,2006-03-22
47.321,29.3713,2006-03-22
47.5921,29.7328,2006-03-22
47.3217,29.4479,2006-03-22
47.2705,30.5292,2006-03-22
47.2687,30.543,2006-03-22
46.3888,32.7295,2006-03-22
46.1109,32.4186,2006-03-22
46.109,32.4313,2006-03-22
46.0657,29.2861,2006-03-22
46.2333,33.4016,2006-03-22
45.5018,29.3123,2006-03-22
46.1059,33.4227,2006-03-22
45.8283,33.6547,2006-03-22
45.4493,34.9057,2006-03-22
45.9153,33.9128,2006-03-22
45.4513,34.9184,2006-03-22
45.9174,33.926,2006-03-22
46.6626,32.8212,2006-03-22
45.9427,33.8481,2006-03-22
48.5677,34.6003,2006-03-22
48.5696,34.6136,2006-03-22
