LATITUDE,LONGITUDE,ACQ_DATE
47.1518,37.5304,2008-01-02
51.8448,25.2586,2008-01-02
51.8476,25.2534,2008-01-02
47.3255,31.6446,2008-01-03
47.3272,31.6588,2008-01-03
47.3289,31.673,2008-01-03
49.7948,32.7888,2008-01-05
50.1122,33.86,2008-01-05
49.8945,32.9875,2008-01-05
50.1215,33.8574,2008-01-05
49.8873,32.9965,2008-01-05
51.3944,32.0222,2008-01-05
51.3925,32.0077,2008-01-05
51.3804,31.5682,2008-01-05
51.3784,31.5539,2008-01-05
51.462,32.1146,2008-01-05
50.8907,32.0565,2008-01-05
49.395,33.9322,2008-01-05
51.4639,32.1293,2008-01-05
51.0716,31.6103,2008-01-05
50.3302,31.1506,2008-01-05
51.2566,31.6084,2008-01-05
50.6536,31.6018,2008-01-05
50.6447,31.6049,2008-01-05
51.2654,31.6053,2008-01-05
50.8888,32.0422,2008-01-05
49.7867,34.6666,2008-01-05
49.6796,35.0636,2008-01-05
49.7885,34.6824,2008-01-05
49.7122,33.3115,2008-01-05
49.8366,33.4164,2008-01-05
49.3933,33.9175,2008-01-05
49.7049,33.3183,2008-01-05
47.2141,31.7748,2008-01-05
47.2877,31.7272,2008-01-05
47.2808,31.743,2008-01-05
47.2896,31.7402,2008-01-05
49.7929,33.3446,2008-01-05
49.7962,33.0004,2008-01-05
49.7074,33.3036,2008-01-05
49.7948,33.3591,2008-01-05
46.6082,32.6568,2008-01-05
49.607,34.1674,2008-01-05
47.351,31.2835,2008-01-05
47.0481,32.1744,2008-01-05
49.6711,32.6866,2008-01-05
47.0569,32.1716,2008-01-05
46.5993,32.6595,2008-01-05
48.7632,31.5432,2008-01-05
49.7944,32.9862,2008-01-05
49.7703,32.8033,2008-01-06
48.5866,36.22,2008-01-07
49.7551,32.8194,2008-01-07
49.7638,32.8749,2008-01-07
50.1626,32.9193,2008-01-07
48.5884,36.2338,2008-01-07
49.7573,32.8333,2008-01-07
49.3806,37.0328,2008-01-07
49.2065,34.0351,2008-01-07
50.5013,32.1153,2008-01-07
49.2846,34.3766,2008-01-07
49.1654,34.0136,2008-01-07
49.1629,34.1846,2008-01-07
50.9944,32.5722,2008-01-07
50.1382,32.9433,2008-01-07
50.1796,31.3639,2008-01-07
49.766,32.8887,2008-01-07
49.9407,32.9932,2008-01-07
49.7254,33.2899,2008-01-07
50.1452,32.9535,2008-01-07
50.1364,32.9505,2008-01-07
49.7235,32.7883,2008-01-07
50.1472,32.9396,2008-01-07
49.6088,33.3298,2008-01-07
46.945,37.3393,2008-01-07
