LATITUDE,LONGITUDE,ACQ_DATE
48.2136,38.2412,2011-01-02
47.0983,37.5976,2011-01-02
47.1588,37.535,2011-01-10
48.1641,30.6243,2011-01-17
48.1622,30.6111,2011-01-17
47.0905,37.6045,2011-01-28
47.0983,37.5937,2011-02-06
47.1542,37.5296,2011-02-06
47.1555,37.5186,2011-02-07
47.1573,37.5343,2011-02-07
48.3938,25.2126,2011-02-08
48.9076,24.3574,2011-02-08
49.6255,22.7966,2011-02-08
48.4603,24.5299,2011-02-08
48.7709,24.7369,2011-02-08
48.7828,24.622,2011-02-08
48.7068,24.8808,2011-02-08
48.713,24.8886,2011-02-08
48.3568,26.4214,2011-02-08
48.7599,24.725,2011-02-08
47.5312,29.1839,2011-02-08
48.3751,25.9617,2011-02-08
48.7951,24.6235,2011-02-08
48.7656,24.8946,2011-02-08
48.7691,24.5246,2011-02-08
49.1844,23.8204,2011-02-08
48.7112,24.874,2011-02-08
45.4312,29.6114,2011-02-09
48.5225,34.6728,2011-02-09
48.5789,24.7435,2011-02-09
48.5705,24.7499,2011-02-09
45.4257,29.607,2011-02-09
45.7199,34.8052,2011-02-09
45.4622,34.941,2011-02-09
47.8691,33.4374,2011-02-09
49.5468,32.2499,2011-02-09
45.4198,29.6165,2011-02-09
48.6632,25.0967,2011-02-10
48.8796,24.6814,2011-02-10
48.5745,24.749,2011-02-10
48.5672,24.954,2011-02-10
48.771,24.6967,2011-02-10
49.2669,24.4716,2011-02-10
49.6142,23.1163,2011-02-10
49.1302,24.1278,2011-02-10
49.1184,23.931,2011-02-10
49.1159,23.9751,2011-02-10
49.7167,24.2517,2011-02-10
49.7146,24.2381,2011-02-10
49.7255,24.2485,2011-02-10
49.5256,24.2183,2011-02-10
49.6275,23.8514,2011-02-10
49.2652,24.2153,2011-02-10
49.0381,24.3157,2011-02-10
49.8063,24.4781,2011-02-10
49.8129,23.7847,2011-02-10
48.6651,25.11,2011-02-10
49.107,23.9783,2011-02-10
48.4324,25.5549,2011-02-10
47.8375,33.2221,2011-02-10
49.5215,22.9577,2011-02-10
48.5183,34.6815,2011-02-10
47.8667,33.4499,2011-02-10
48.5691,25.4249,2011-02-10
48.5773,24.9648,2011-02-10
48.5794,24.9513,2011-02-10
49.3634,23.5606,2011-02-10
48.8782,24.1793,2011-02-10
49.0484,24.32,2011-02-10
49.5234,22.9438,2011-02-10
49.8251,23.6357,2011-02-10
48.9753,23.9367,2011-02-10
49.8232,23.6495,2011-02-10
48.1707,26.1374,2011-02-10
48.3078,26.165,2011-02-10
48.3102,26.151,2011-02-10
48.3888,26.4487,2011-02-10
48.1684,26.1515,2011-02-10
47.8491,33.2201,2011-02-10
48.3534,26.1771,2011-02-10
47.8473,33.1968,2011-02-10
48.3516,26.1637,2011-02-10
