LATITUDE,LONGITUDE,ACQ_DATE
47.859,33.4306,2004-01-15
48.4862,34.9793,2004-01-15
47.8713,33.3906,2004-01-16
47.8593,33.4432,2004-01-31
47.8513,33.4446,2004-02-08
47.8679,33.4508,2004-02-08
48.1611,30.6169,2004-02-08
48.17,30.6138,2004-02-08
47.1014,37.6068,2004-02-10
47.156,37.5659,2004-02-10
47.6317,34.3299,2004-02-10
47.0951,37.5938,2004-02-10
48.2093,38.2485,2004-02-11
47.6257,34.329,2004-02-11
48.214,38.2563,2004-02-11
47.856,33.4428,2004-02-17
45.431,29.5842,2004-02-19
45.4309,29.5822,2004-02-19
48.6821,27.2156,2004-02-21
46.5274,32.4502,2004-02-21
48.736,27.25,2004-02-21
45.4868,29.5736,2004-02-21
45.583,29.1615,2004-02-21
45.5252,29.5072,2004-02-21
46.4688,30.0452,2004-02-21
46.4802,30.0432,2004-02-21
45.5178,29.5481,2004-02-21
47.3634,30.5743,2004-02-22
47.0823,32.4158,2004-02-22
47.36,30.5826,2004-02-22
46.4929,32.4485,2004-02-22
47.3672,30.5928,2004-02-22
46.4914,32.4368,2004-02-22
47.8581,33.4502,2004-02-22
46.4853,30.057,2004-02-22
46.4943,32.4528,2004-02-22
47.2917,32.698,2004-02-29
48.4513,38.7624,2004-02-29
45.4638,29.4452,2004-02-29
47.0971,37.5913,2004-02-29
45.4831,29.5353,2004-03-01
45.4848,29.5517,2004-03-01
45.5032,29.5311,2004-03-01
48.4585,38.7762,2004-03-01
47.0917,37.6089,2004-03-01
45.4865,29.5681,2004-03-01
45.5015,29.5147,2004-03-01
45.2819,28.5323,2004-03-01
45.4764,29.5702,2004-03-01
45.4747,29.5538,2004-03-01
45.3934,29.0705,2004-03-01
45.3945,29.0808,2004-03-01
47.8567,33.4403,2004-03-01
47.6312,34.3246,2004-03-01
50.5975,33.3452,2004-03-02
50.4769,33.5387,2004-03-02
50.4751,33.5218,2004-03-02
47.6291,34.3079,2004-03-03
47.0995,37.5976,2004-03-03
47.8518,33.4463,2004-03-03
45.8305,33.6013,2004-03-03
48.8819,32.777,2004-03-04
45.8015,33.5292,2004-03-05
45.8032,33.543,2004-03-05
47.8707,33.4572,2004-03-06
50.1243,32.9676,2004-03-07
46.4321,33.6487,2004-03-07
48.1138,29.3565,2004-03-07
46.6503,32.7575,2004-03-07
46.6527,32.4131,2004-03-07
48.6332,34.0945,2004-03-07
48.6313,34.0809,2004-03-07
48.8816,33.4834,2004-03-07
49.6121,33.2785,2004-03-07
50.1401,30.3742,2004-03-07
49.611,32.6882,2004-03-07
49.6816,32.7923,2004-03-07
49.661,32.8423,2004-03-07
50.6275,30.7386,2004-03-07
50.6252,30.7245,2004-03-07
50.8326,30.7951,2004-03-07
50.1424,30.3884,2004-03-07
48.1971,30.068,2004-03-07
50.2001,32.3943,2004-03-07
47.87,33.4069,2004-03-07
50.8304,30.781,2004-03-07
45.7247,34.7784,2004-03-07
45.8915,33.8785,2004-03-07
50.2358,31.8992,2004-03-07
50.3598,31.1558,2004-03-07
50.3579,31.1699,2004-03-07
50.4822,30.9378,2004-03-07
46.0422,33.6972,2004-03-07
46.0741,33.6548,2004-03-07
48.7694,31.7675,2004-03-07
48.7674,31.7808,2004-03-07
48.1668,30.617,2004-03-07
45.9293,33.8635,2004-03-07
47.7321,35.8199,2004-03-07
49.6818,32.8013,2004-03-07
48.1932,33.9205,2004-03-07
45.4118,34.9187,2004-03-07
45.8122,33.5903,2004-03-07
45.4448,29.1251,2004-03-07
45.9347,33.8561,2004-03-07
45.9322,33.8705,2004-03-07
45.443,29.138,2004-03-07
46.4307,30.1757,2004-03-08
49.7629,32.9235,2004-03-08
47.8343,29.6105,2004-03-08
45.8323,30.0625,2004-03-08
48.6213,29.0056,2004-03-08
48.6231,29.0269,2004-03-08
48.4151,25.5505,2004-03-08
48.4169,25.5656,2004-03-08
48.6371,26.5168,2004-03-08
49.7673,32.9187,2004-03-08
48.4607,38.7726,2004-03-08
50.5629,31.0237,2004-03-08
50.564,31.0484,2004-03-08
50.5622,31.0188,2004-03-08
50.5649,31.0533,2004-03-08
48.7697,27.0043,2004-03-08
49.1078,32.5187,2004-03-08
49.1125,32.5263,2004-03-08
45.2774,28.5722,2004-03-08
48.7301,37.5638,2004-03-08
