LATITUDE,LONGITUDE,ACQ_DATE
47.09631,37.59814,2022-01-01
47.16526,37.55743,2022-01-01
47.15959,37.55685,2022-01-01
47.10142,37.6173,2022-01-01
47.15477,37.56224,2022-01-01
47.16214,37.55904,2022-01-01
47.10182,37.58358,2022-01-01
47.15404,37.56745,2022-01-01
47.13857,37.57901,2022-01-01
47.10255,37.57839,2022-01-01
47.13134,37.63082,2022-01-01
47.09558,37.60332,2022-01-01
47.1581,37.56324,2022-01-01
47.09485,37.60851,2022-01-01
48.74656,26.6008,2022-01-01
48.74947,26.60187,2022-01-01
47.15578,37.52996,2022-01-01
47.15071,37.56644,2022-01-01
47.13785,37.5842,2022-01-01
47.09358,37.59491,2022-01-02
47.15487,37.5355,2022-01-02
47.15663,37.56522,2022-01-02
47.16172,37.5603,2022-01-02
47.09441,37.60987,2022-01-02
47.87614,35.15969,2022-01-02
48.16452,30.61955,2022-01-02
48.48032,38.78608,2022-01-02
48.45798,38.77463,2022-01-02
48.16388,30.62431,2022-01-02
48.16834,30.62012,2022-01-02
48.16156,30.61724,2022-01-02
48.16495,30.61869,2022-01-02
47.09584,37.60325,2022-01-02
47.09319,37.60459,2022-01-02
48.45772,38.77556,2022-01-02
48.21373,38.24238,2022-01-02
47.097,37.60567,2022-01-02
47.09527,37.58293,2022-01-02
47.15579,37.52798,2022-01-02
47.10644,37.58442,2022-01-02
47.10699,37.58546,2022-01-02
47.15617,37.56563,2022-01-02
48.167,30.61584,2022-01-02
48.16737,30.61914,2022-01-03
47.099,37.5915,2022-01-03
47.09658,37.5985,2022-01-03
47.09414,37.60555,2022-01-03
48.16742,30.61802,2022-01-04
47.62513,34.32614,2022-01-04
47.63052,34.32249,2022-01-04
47.10621,37.58896,2022-01-05
47.2062,37.55082,2022-01-05
47.1598,37.55856,2022-01-05
47.0924,37.60754,2022-01-05
49.17981,33.46078,2022-01-05
48.16412,30.61596,2022-01-05
47.86658,33.43419,2022-01-05
47.0938,37.60181,2022-01-05
