LATITUDE,LONGITUDE,ACQ_DATE
47.0963,37.5969,2001-01-09
47.8697,33.3947,2001-01-12
47.8624,33.4276,2001-01-13
47.0923,37.6141,2001-01-14
47.098,37.6072,2001-01-14
47.0905,37.5962,2001-01-14
46.5244,32.4981,2001-01-21
46.5227,32.5125,2001-01-21
45.4883,29.3568,2001-01-22
45.3291,28.5975,2001-01-22
47.3381,31.6411,2001-01-23
46.5995,32.4812,2001-01-23
46.5487,32.4567,2001-01-23
46.5327,32.4679,2001-01-23
50.9881,24.8266,2001-01-23
51.8204,24.5369,2001-01-23
46.8527,32.7734,2001-01-23
46.851,32.7923,2001-01-23
47.2611,36.1157,2001-01-23
47.3923,36.3093,2001-01-23
47.0037,32.1052,2001-01-23
47.8535,33.4464,2001-01-23
47.8695,33.3929,2001-01-23
47.8586,33.4535,2001-01-23
46.5461,32.5139,2001-01-23
46.6582,32.4038,2001-01-23
46.59,32.6651,2001-01-23
46.5424,32.6684,2001-01-23
46.5793,32.6631,2001-01-23
47.0055,32.0845,2001-01-23
46.5488,32.5449,2001-01-24
46.508,32.4875,2001-01-24
47.9062,30.0224,2001-01-24
47.9084,30.0088,2001-01-24
47.375,31.5866,2001-01-24
47.1878,34.9434,2001-01-24
46.9448,36.1691,2001-01-24
46.8828,34.7585,2001-01-24
47.2384,36.3336,2001-01-24
46.9395,36.1929,2001-01-24
47.2342,36.3262,2001-01-24
46.6326,32.7106,2001-01-24
47.19,35.3201,2001-01-24
46.6358,32.6939,2001-01-24
47.0982,31.7833,2001-01-24
46.5464,32.669,2001-01-24
46.5547,32.4588,2001-01-24
50.87,24.9569,2001-01-24
50.8602,24.9544,2001-01-24
50.4419,25.706,2001-01-24
51.1246,24.6647,2001-01-24
50.802,26.5482,2001-01-24
51.2063,25.2302,2001-01-24
50.5276,26.2521,2001-01-24
50.7357,24.4057,2001-01-24
50.7339,24.4235,2001-01-24
49.8171,29.9751,2001-01-24
50.2155,28.2213,2001-01-24
50.5294,26.2367,2001-01-24
50.7187,28.1752,2001-01-25
49.5937,28.4768,2001-01-25
49.7595,27.7379,2001-01-25
49.1211,27.8677,2001-01-25
49.5968,28.4719,2001-01-25
49.7589,27.731,2001-01-25
50.7601,30.7503,2001-01-25
50.7506,30.7511,2001-01-25
47.8656,33.4605,2001-01-25
46.9335,37.3566,2001-01-25
48.9457,32.6561,2001-01-25
49.6009,28.4475,2001-01-25
46.5537,32.4661,2001-01-26
49.1071,35.1486,2001-01-26
49.235,33.6458,2001-01-26
49.1044,35.1636,2001-01-26
49.2593,34.3908,2001-01-26
47.4611,35.5498,2001-01-28
46.0111,33.7424,2001-01-28
45.3146,34.8835,2001-01-28
45.8098,33.5376,2001-01-28
45.2413,35.1121,2001-01-28
45.2503,35.115,2001-01-28
45.2524,35.102,2001-01-28
45.4234,36.1412,2001-01-28
45.46,36.1313,2001-01-28
45.4706,29.5485,2001-02-06
45.4918,29.3317,2001-02-06
45.5076,29.3541,2001-02-09
46.5142,29.9723,2001-02-09
45.5501,29.2702,2001-02-09
46.5165,29.9586,2001-02-09
45.423,29.5314,2001-02-09
45.2673,28.5815,2001-02-16
47.556,31.0727,2001-02-16
48.4519,30.8094,2001-02-16
45.6554,34.9079,2001-02-16
45.4192,34.9258,2001-02-16
45.6561,34.9029,2001-02-16
45.2649,28.5955,2001-02-16
46.1652,33.0606,2001-02-16
45.4898,29.1939,2001-02-16
45.4919,29.2004,2001-02-16
45.4872,29.2084,2001-02-16
50.0923,31.7888,2001-02-16
46.2202,33.0849,2001-02-16
50.093,31.7947,2001-02-16
47.6271,34.3278,2001-02-18
46.5048,29.9923,2001-02-18
46.0665,34.0005,2001-02-18
45.385,34.4737,2001-02-18
45.3886,34.4558,2001-02-18
45.392,34.4708,2001-02-18
45.4346,34.9324,2001-02-20
48.4887,34.9731,2001-02-24
48.4962,38.8051,2001-02-28
47.158,37.5622,2001-02-28
47.1596,37.5606,2001-03-01
47.8511,33.4484,2001-03-01
45.4226,34.9617,2001-03-04
45.5119,29.5571,2001-03-05
45.4981,29.5556,2001-03-05
45.5057,29.549,2001-03-05
45.2345,35.588,2001-03-05
45.557,34.8544,2001-03-05
45.5553,34.8712,2001-03-05
