OBLAST_ID,ACQ_DATE,TEMPERATURE_2M_MAX (°C),TEMPERATURE_2M_MIN (°C),TEMPERATURE_2M_MEAN (°C),RAIN_SUM (MM),SNOWFALL_SUM (CM),WIND_DIRECTION_10M_DOMINANT (°),CLOUD_COVER (%)
UA05,2022-01-01,6.8,3.5,5.7,1.6,0.0,291.0,96.41666666666667
UA05,2022-01-02,3.5,-1.5,0.3,0.2,0.42,307.0,85.375
UA05,2022-01-03,9.1,1.3,5.1,1.3,0.0,261.0,68.29166666666667
UA05,2022-01-04,6.8,3.6,4.6,1.5,0.0,249.0,94.25
UA05,2022-01-05,9.9,4.9,7.0,1.3,0.0,218.0,88.45833333333333
UA05,2022-01-06,6.3,0.2,2.8,1.0,0.0,272.0,93.83333333333333
UA05,2022-01-07,0.3,-5.6,-2.1,0.0,0.0,286.0,47.583333333333336
UA05,2022-01-08,-0.4,-6.1,-3.4,0.0,0.21,155.0,61.125
UA05,2022-01-09,-0.2,-2.0,-1.2,0.0,4.27,155.0,100.0
UA05,2022-01-10,-0.8,-5.4,-2.6,0.0,0.0,349.0,93.75
UA05,2022-01-11,-3.6,-9.7,-5.5,0.0,0.07,4.0,87.16666666666667
UA05,2022-01-12,-8.8,-11.4,-10.7,0.0,0.0,336.0,90.0
UA05,2022-01-13,0.8,-11.2,-5.7,0.0,0.56,279.0,95.25
UA05,2022-01-14,2.6,0.8,1.9,1.4,0.07,290.0,86.79166666666667
UA05,2022-01-15,1.2,-1.3,-0.1,0.0,0.0,312.0,74.29166666666667
UA05,2022-01-16,0.3,-3.6,-0.8,0.0,0.0,293.0,81.16666666666667
UA05,2022-01-17,2.2,-3.4,0.0,0.0,2.31,262.0,87.83333333333333
UA05,2022-01-18,-0.6,-4.9,-2.6,0.1,0.84,326.0,46.75
UA05,2022-01-19,-0.6,-6.2,-3.5,0.0,0.42,303.0,66.54166666666667
UA05,2022-01-20,2.7,-4.6,-1.1,0.0,0.56,232.0,67.08333333333333
UA05,2022-01-21,-1.6,-4.6,-2.6,0.0,0.07,268.0,75.54166666666667
UA05,2022-01-22,-1.4,-5.0,-3.2,0.0,0.98,289.0,91.33333333333333
UA05,2022-01-23,-4.4,-6.2,-5.3,0.0,0.84,351.0,92.29166666666667
UA05,2022-01-24,-5.1,-7.7,-6.3,0.0,0.07,358.0,91.29166666666667
UA05,2022-01-25,-3.9,-9.0,-6.9,0.0,0.63,309.0,95.625
UA05,2022-01-26,0.7,-6.0,-1.5,0.0,1.61,328.0,93.5
UA05,2022-01-27,1.6,-7.4,-1.3,0.0,0.63,249.0,98.58333333333333
UA05,2022-01-28,3.1,-0.6,0.9,0.8,1.54,253.0,90.20833333333333
UA05,2022-01-29,1.3,-5.4,-1.2,0.1,0.49,298.0,84.91666666666667
UA05,2022-01-30,3.6,-5.5,-0.4,0.4,2.94,238.0,83.58333333333333
UA05,2022-01-31,0.9,-3.7,-0.6,0.0,2.45,283.0,87.5
UA05,2022-02-01,0.1,-10.1,-3.0,0.0,0.07,260.0,60.958333333333336
UA05,2022-02-02,2.1,-9.6,-2.6,0.0,0.0,195.0,78.58333333333333
UA05,2022-02-03,0.9,-4.7,-1.5,0.0,0.35,306.0,88.25
UA05,2022-02-04,0.0,-10.3,-3.5,0.0,0.21,274.0,85.45833333333333
UA05,2022-02-05,3.7,-1.7,0.2,0.4,0.35,224.0,89.16666666666667
UA05,2022-02-06,3.7,-2.2,0.4,0.0,0.0,252.0,67.25
UA05,2022-02-07,5.6,-0.4,1.8,1.3,0.7,200.0,95.41666666666667
UA05,2022-02-08,1.7,-0.5,0.5,0.5,4.27,326.0,91.66666666666667
UA05,2022-02-09,3.9,-1.8,1.6,0.2,0.77,298.0,78.5
UA05,2022-02-10,6.2,0.6,4.1,0.8,0.0,266.0,96.16666666666667
UA05,2022-02-11,7.3,0.4,3.2,0.0,0.0,254.0,62.708333333333336
UA05,2022-02-12,4.0,-2.3,1.8,0.5,0.0,301.0,79.41666666666667
UA05,2022-02-13,3.8,-5.8,-1.6,0.0,0.0,199.0,5.25
UA05,2022-02-14,4.6,-4.0,-0.8,0.0,0.0,183.0,0.08333333333333333
UA05,2022-02-15,4.2,-4.0,-0.7,0.0,0.0,161.0,19.291666666666668
UA05,2022-02-16,7.5,-3.3,1.8,0.0,0.07,169.0,51.166666666666664
UA05,2022-02-17,8.6,0.9,4.6,1.6,0.0,212.0,47.958333333333336
UA05,2022-02-18,5.3,-0.6,3.3,1.4,0.07,287.0,66.29166666666667
UA05,2022-02-19,8.4,-1.3,3.7,0.1,0.0,218.0,50.541666666666664
UA05,2022-02-20,7.0,-0.9,3.1,0.0,0.0,252.0,28.125
UA05,2022-02-21,9.0,-0.4,4.6,0.5,0.0,211.0,55.666666666666664
UA05,2022-02-22,9.4,1.7,5.1,0.8,0.0,283.0,58.833333333333336
UA05,2022-02-23,6.2,0.1,2.7,0.5,0.0,271.0,77.16666666666667
UA05,2022-02-24,5.1,1.1,3.0,0.0,0.0,304.0,88.75
UA05,2022-02-25,7.3,-2.6,2.1,0.0,0.0,202.0,22.916666666666668
UA05,2022-02-26,6.8,0.4,3.2,0.0,0.0,355.0,87.16666666666667
UA05,2022-02-27,5.0,-2.2,1.3,0.0,0.0,16.0,55.208333333333336
UA05,2022-02-28,3.8,-3.3,0.0,0.0,0.0,38.0,38.166666666666664
UA05,2022-03-01,0.3,-3.4,-1.2,0.0,0.49,12.0,92.08333333333333
UA05,2022-03-02,1.9,-1.0,0.1,0.0,2.31,8.0,99.58333333333333
UA05,2022-03-03,3.3,-1.0,0.6,0.0,0.56,345.0,97.45833333333333
UA05,2022-03-04,2.5,-0.6,0.8,0.1,1.05,327.0,98.04166666666667
UA05,2022-03-05,1.6,-1.7,-0.5,0.1,0.21,351.0,99.75
UA05,2022-03-06,1.0,-3.7,-1.2,0.0,0.21,320.0,82.0
UA05,2022-03-07,0.2,-4.1,-1.6,0.0,0.42,305.0,90.83333333333333
UA05,2022-03-08,0.9,-4.7,-1.8,0.0,2.31,339.0,90.04166666666667
UA05,2022-03-09,0.4,-6.4,-3.5,0.0,0.0,9.0,61.25
UA05,2022-03-10,-3.2,-7.1,-4.5,0.0,0.14,24.0,69.08333333333333
UA05,2022-03-11,-0.9,-9.0,-5.4,0.0,0.0,20.0,18.541666666666668
UA05,2022-03-12,4.3,-7.7,-1.8,0.0,0.14,328.0,39.083333333333336
UA05,2022-03-13,1.0,-2.8,-0.6,0.0,0.42,18.0,90.20833333333333
UA05,2022-03-14,4.3,-3.7,-0.5,0.0,0.0,327.0,39.583333333333336
UA05,2022-03-15,11.4,-4.0,1.6,0.0,0.0,314.0,0.2916666666666667
UA05,2022-03-16,6.2,-3.1,0.6,0.0,0.0,109.0,14.375
UA05,2022-03-17,2.2,-6.7,-2.5,0.0,0.0,47.0,15.791666666666666
UA05,2022-03-18,3.0,-6.4,-2.4,0.0,0.0,34.0,9.791666666666666
UA05,2022-03-19,5.1,-6.3,-1.6,0.0,0.0,27.0,0.5416666666666666
UA05,2022-03-20,9.3,-5.4,1.0,0.0,0.0,10.0,0.0
UA05,2022-03-21,12.2,-2.9,3.2,0.0,0.0,2.0,0.125
UA05,2022-03-22,15.2,0.3,5.7,0.0,0.0,25.0,0.125
UA05,2022-03-23,16.3,-2.2,6.0,0.0,0.0,308.0,0.0
UA05,2022-03-24,10.7,0.5,5.0,0.0,0.0,320.0,4.708333333333333
UA05,2022-03-25,8.6,0.7,3.9,1.3,1.19,352.0,69.625
UA05,2022-03-26,15.4,-0.7,7.0,2.8,0.0,276.0,39.625
UA05,2022-03-27,6.5,-0.5,2.9,0.0,0.0,322.0,42.208333333333336
UA05,2022-03-28,12.6,-2.9,4.6,0.0,0.0,241.0,5.125
UA05,2022-03-29,16.6,5.1,10.2,0.1,0.0,257.0,27.291666666666668
UA05,2022-03-30,12.4,4.7,8.7,1.0,0.0,283.0,81.66666666666667
UA05,2022-03-31,17.6,5.0,10.9,0.4,0.0,161.0,77.625
UA05,2022-04-01,17.7,7.6,12.5,1.6,0.0,115.0,77.20833333333333
UA05,2022-04-02,11.2,3.7,8.7,1.7,0.0,302.0,96.95833333333333
UA05,2022-04-03,4.4,0.2,2.4,0.2,0.77,312.0,99.58333333333333
UA05,2022-04-04,3.7,-2.0,1.0,0.0,0.0,282.0,84.75
UA05,2022-04-05,8.7,-2.5,2.5,0.7,0.0,223.0,68.58333333333333
UA05,2022-04-06,14.3,2.3,7.9,0.0,0.0,243.0,54.5
UA05,2022-04-07,18.7,4.0,10.8,0.0,0.0,177.0,19.875
UA05,2022-04-08,15.7,4.4,9.0,0.3,0.0,234.0,45.708333333333336
UA05,2022-04-09,18.5,5.1,11.7,0.1,0.0,208.0,68.08333333333333
UA05,2022-04-10,7.4,4.1,5.1,6.2,0.0,353.0,97.125
UA05,2022-04-11,9.4,1.8,5.2,0.2,0.0,337.0,71.20833333333333
UA05,2022-04-12,8.8,0.5,4.8,1.4,0.0,326.0,15.333333333333334
UA05,2022-04-13,8.7,3.1,5.5,0.0,0.0,341.0,77.04166666666667
UA05,2022-04-14,15.1,4.7,9.0,0.0,0.0,348.0,47.333333333333336
