OBLAST_ID,ACQ_DATE,TEMPERATURE_2M_MAX (°C),TEMPERATURE_2M_MIN (°C),TEMPERATURE_2M_MEAN (°C),RAIN_SUM (MM),SNOWFALL_SUM (CM),WIND_DIRECTION_10M_DOMINANT (°),CLOUD_COVER (%),YEAR
UA40,2023-01-03,9.367,5.617,7.9149165,0.0,0.0,22.116894,17.475,2023
UA30,2023-01-03,4.3575,1.2075,3.2679164,0.3,0.0,290.29694,45.25833,2023
UA21,2023-01-03,7.4729996,3.623,5.3959174,0.4,0.0,121.32858,98.74167,2023
UA07,2023-01-03,4.263,1.513,3.1255,0.4,0.0,258.19452,66.1,2023
UA56,2023-01-03,4.361,0.51100004,2.8130834,0.1,0.0,265.93704,64.700005,2023
UA23,2023-01-03,6.976,2.576,4.9759994,0.0,0.0,316.87866,33.595837,2023
UA65,2023-01-03,6.7355,1.0855,4.6084166,0.1,0.0,327.88962,16.1375,2023
UA48,2023-01-03,6.35,0.9,4.864583,0.0,0.0,321.35217,20.650002,2023
UA14,2023-01-03,7.429,1.829,4.701917,0.1,0.14,291.12048,59.933334,2023
UA71,2023-01-03,5.3849998,-0.315,3.724583,0.3,0.0,293.2189,54.725002,2023
UA53,2023-01-03,5.4245,-2.7754998,2.6995003,0.3,0.0,295.9137,72.458336,2023
UA35,2023-01-03,6.394,2.2940001,4.3398333,0.0,0.0,305.1571,60.216663,2023
UA18,2023-01-03,5.022,-0.178,2.955333,0.0,0.0,281.88,58.162502,2023
UA05,2023-01-03,6.602,-0.848,3.262417,0.0,0.0,297.422,46.77917,2023
UA61,2023-01-03,4.2695,-0.2305,2.0715835,0.0,0.0,279.37534,61.833332,2023
UA26,2023-01-03,5.9865,1.2865,3.8448334,0.0,0.0,288.1176,62.220837,2023
UA63,2023-01-04,3.0865002,-1.6135,0.94483334,4.5,0.77,223.38495,91.47083,2023
UA35,2023-01-04,5.2939997,-0.256,2.5606663,2.7,0.0,227.16176,84.05417,2023
UA46,2023-01-04,7.691,5.091,6.466,6.8,0.0,252.12589,59.295834,2023
UA30,2023-01-04,6.0075,-0.04250002,3.4283335,4.6000004,1.96,239.29541,90.0875,2023
UA12,2023-01-04,4.9365,-0.46350002,2.819833,3.4,0.0,221.29437,70.49167,2023
UA65,2023-01-04,7.7355,-0.61450005,4.3667493,4.3999996,0.0,230.60355,56.100002,2023
UA32,2023-01-04,6.0075,-0.04250002,3.4283335,4.6000004,1.96,239.29541,90.0875,2023
UA23,2023-01-04,7.126,-0.024,3.7780836,2.4,0.0,224.26744,83.3125,2023
UA18,2023-01-04,6.922,0.122,4.469916,6.5999994,0.63,250.09142,82.65417,2023
UA71,2023-01-04,6.435,0.535,3.2308333,3.9999998,0.42000002,229.75594,75.120834,2023
UA53,2023-01-04,4.1245003,-3.1255,1.1078333,6.5000005,1.6099999,222.85658,64.34167,2023
UA14,2023-01-04,4.529,-2.521,1.454,3.5,0.14,219.16719,81.74167,2023
UA74,2023-01-04,4.5285,-0.9215,2.2264166,7.7,3.1500003,223.74327,68.32083,2023
