OBLAST_ID,ACQ_DATE,TEMPERATURE_2M_MAX (°C),TEMPERATURE_2M_MIN (°C),TEMPERATURE_2M_MEAN (°C),RAIN_SUM (MM),SNOWFALL_SUM (CM),WIND_DIRECTION_10M_DOMINANT (°),CLOUD_COVER (%)
UA05,2020-01-01,2.6,-0.9,0.9,0.7,0.42,323.0,74.125
UA05,2020-01-02,1.1,-1.5,-0.3,0.0,0.0,276.0,76.875
UA05,2020-01-03,6.5,-1.7,1.1,0.0,0.0,311.0,30.875
UA05,2020-01-04,4.0,-1.6,0.8,0.2,0.0,279.0,64.41666666666667
UA05,2020-01-05,2.6,-0.1,0.9,0.1,3.08,311.0,97.79166666666667
UA05,2020-01-06,0.0,-3.9,-1.3,0.0,0.56,339.0,75.625
UA05,2020-01-07,1.0,-6.0,-3.3,0.0,0.0,288.0,25.875
UA05,2020-01-08,2.2,-6.1,-2.5,0.0,0.0,255.0,47.833333333333336
UA05,2020-01-09,0.8,-1.6,-0.3,0.1,0.28,269.0,96.04166666666667
UA05,2020-01-10,2.3,-0.1,1.2,0.5,0.0,223.0,100.0
UA05,2020-01-11,6.4,1.9,4.1,0.9,0.0,288.0,82.16666666666667
UA05,2020-01-12,3.8,-1.1,0.6,0.0,0.0,298.0,74.04166666666667
UA05,2020-01-13,4.9,-0.7,1.5,0.0,0.0,268.0,78.08333333333333
UA05,2020-01-14,6.3,-1.1,1.5,0.0,0.0,231.0,47.833333333333336
UA05,2020-01-15,4.2,-2.3,-0.4,0.0,0.0,188.0,46.291666666666664
UA05,2020-01-16,1.2,-1.9,-0.7,0.0,0.0,213.0,85.25
UA05,2020-01-17,2.0,-1.2,0.1,0.0,0.0,344.0,79.25
UA05,2020-01-18,1.3,-2.4,-0.9,0.0,0.0,170.0,86.41666666666667
UA05,2020-01-19,0.0,-2.0,-1.4,0.0,0.0,177.0,88.125
UA05,2020-01-20,0.6,-2.3,-1.1,0.0,0.0,330.0,90.20833333333333
UA05,2020-01-21,5.2,-0.5,1.8,0.0,0.0,293.0,59.916666666666664
UA05,2020-01-22,3.0,1.3,2.0,0.1,0.42,291.0,81.79166666666667
UA05,2020-01-23,2.1,-0.4,0.6,0.1,0.07,320.0,65.20833333333333
UA05,2020-01-24,4.7,-1.1,0.8,0.0,0.0,265.0,38.0
UA05,2020-01-25,4.2,-1.3,0.9,0.0,0.0,287.0,66.83333333333333
UA05,2020-01-26,2.3,-1.8,0.7,0.0,0.0,265.0,84.08333333333333
UA05,2020-01-27,5.4,-2.5,0.1,0.0,0.0,199.0,57.0
UA05,2020-01-28,7.8,-3.2,1.2,0.0,0.0,192.0,34.75
UA05,2020-01-29,1.9,-0.6,0.7,1.9,0.84,224.0,92.83333333333333
UA05,2020-01-30,3.9,0.1,1.9,0.6,0.77,275.0,83.625
UA05,2020-01-31,4.4,-0.8,1.7,2.4,2.59,231.0,89.29166666666667
UA05,2020-02-01,7.3,4.5,5.9,1.0,0.0,273.0,99.08333333333333
UA05,2020-02-02,11.5,5.2,7.3,0.0,0.0,249.0,62.166666666666664
UA05,2020-02-03,5.5,0.3,3.8,4.5,0.0,279.0,70.04166666666667
UA05,2020-02-04,6.7,-1.2,2.3,0.6,0.0,213.0,78.45833333333333
UA05,2020-02-05,3.1,-3.8,0.1,7.6,5.32,28.0,85.54166666666667
UA05,2020-02-06,3.0,-6.7,-2.2,0.0,0.7,324.0,42.791666666666664
UA05,2020-02-07,0.7,-6.8,-3.7,0.0,0.77,344.0,41.833333333333336
UA05,2020-02-08,-0.9,-8.4,-4.9,0.0,0.0,312.0,59.708333333333336
UA05,2020-02-09,3.1,-4.1,-1.3,0.0,0.0,225.0,62.916666666666664
UA05,2020-02-10,6.0,-3.1,0.8,2.7,0.28,185.0,44.416666666666664
UA05,2020-02-11,6.6,0.2,2.6,2.5,0.35,237.0,68.66666666666667
UA05,2020-02-12,4.5,-0.1,1.5,0.1,0.21,281.0,80.5
UA05,2020-02-13,3.8,-2.1,0.5,0.0,0.56,270.0,68.04166666666667
UA05,2020-02-14,6.2,-3.6,0.5,0.0,0.0,174.0,54.541666666666664
UA05,2020-02-15,3.9,-0.5,1.4,0.0,0.0,306.0,90.08333333333333
UA05,2020-02-16,5.8,0.1,2.4,0.0,0.0,195.0,51.916666666666664
UA05,2020-02-17,9.4,0.8,4.1,0.0,0.0,194.0,38.333333333333336
UA05,2020-02-18,10.1,0.0,4.9,0.0,0.0,255.0,42.833333333333336
