OBLAST_ID,ACQ_DATE,TEMPERATURE_2M_MAX (°C),TEMPERATURE_2M_MIN (°C),TEMPERATURE_2M_MEAN (°C),RAIN_SUM (MM),SNOWFALL_SUM (CM),WIND_DIRECTION_10M_DOMINANT (°),CLOUD_COVER (%)
UA05,2018-01-01,4.3,-0.5,2.5,0.0,0.0,194.0,84.0
UA05,2018-01-02,4.2,2.0,3.1,0.9,0.0,156.0,97.54166666666667
UA05,2018-01-03,3.4,1.3,2.6,8.7,0.14,149.0,97.25
UA05,2018-01-04,3.0,0.9,2.0,1.2,0.0,189.0,99.58333333333333
UA05,2018-01-05,2.8,-0.6,0.8,0.0,0.0,196.0,87.29166666666667
UA05,2018-01-06,4.4,-0.6,1.3,0.3,0.0,195.0,51.958333333333336
UA05,2018-01-07,7.0,1.3,4.2,0.4,0.0,248.0,86.20833333333333
UA05,2018-01-08,3.4,-1.7,1.0,0.1,0.0,359.0,98.54166666666667
UA05,2018-01-09,0.9,-4.4,-2.3,0.0,0.0,322.0,32.583333333333336
UA05,2018-01-10,1.9,-5.1,-1.3,0.0,0.0,154.0,67.54166666666667
UA05,2018-01-11,1.6,-0.5,0.7,0.2,0.14,125.0,89.16666666666667
UA05,2018-01-12,-0.5,-2.5,-1.4,0.0,0.21,63.0,89.45833333333333
UA05,2018-01-13,-1.8,-5.2,-3.3,0.0,0.07,67.0,89.66666666666667
UA05,2018-01-14,-5.1,-8.3,-6.4,0.0,0.0,70.0,87.20833333333333
UA05,2018-01-15,-5.4,-12.3,-9.3,0.0,0.0,60.0,10.166666666666666
UA05,2018-01-16,-5.3,-12.7,-9.0,0.0,0.0,140.0,33.666666666666664
UA05,2018-01-17,2.2,-5.7,-3.2,0.0,1.26,164.0,75.41666666666667
UA05,2018-01-18,-0.1,-4.4,-2.2,0.0,1.26,343.0,93.125
UA05,2018-01-19,4.6,-8.3,-1.9,0.0,0.28,222.0,40.208333333333336
UA05,2018-01-20,2.2,-6.7,-2.4,0.0,0.0,265.0,60.041666666666664
UA05,2018-01-21,1.1,-6.2,-3.1,0.0,0.35,174.0,71.70833333333333
UA05,2018-01-22,-2.3,-6.9,-4.1,0.3,1.82,54.0,97.29166666666667
UA05,2018-01-23,-5.1,-9.6,-7.9,0.0,0.0,25.0,72.83333333333333
UA05,2018-01-24,-1.3,-12.0,-8.1,0.0,0.0,234.0,44.5
UA05,2018-01-25,-1.8,-8.3,-5.9,0.0,0.0,182.0,59.708333333333336
UA05,2018-01-26,-2.1,-9.3,-6.1,0.0,0.0,159.0,21.708333333333332
UA05,2018-01-27,-1.3,-9.9,-6.1,0.0,0.0,180.0,56.416666666666664
UA05,2018-01-28,1.8,-5.6,-2.4,0.0,0.0,219.0,93.0
UA05,2018-01-29,5.5,2.0,3.6,1.7,0.0,267.0,99.58333333333333
UA05,2018-01-30,5.4,1.8,4.4,1.4,0.21,275.0,78.54166666666667
UA05,2018-01-31,3.8,-2.8,1.1,0.0,0.07,290.0,63.708333333333336
UA05,2018-02-01,5.5,-2.8,0.6,0.0,0.0,176.0,36.166666666666664
UA05,2018-02-02,10.4,-0.1,3.3,0.0,0.0,192.0,32.916666666666664
UA05,2018-02-03,7.6,1.0,3.4,1.7,0.0,160.0,60.291666666666664
UA05,2018-02-04,4.7,-2.5,0.6,0.2,0.28,291.0,88.125
UA05,2018-02-05,-0.7,-6.0,-2.9,0.0,0.77,315.0,84.08333333333333
UA05,2018-02-06,-2.7,-9.1,-7.0,0.0,0.0,253.0,2.1666666666666665
UA05,2018-02-07,1.3,-9.3,-2.5,0.1,0.0,144.0,77.29166666666667
UA05,2018-02-08,1.1,-1.3,-0.2,0.1,4.13,108.0,100.0
UA05,2018-02-09,0.3,-1.3,-0.7,0.0,5.46,5.0,100.0
UA05,2018-02-10,1.5,-4.6,-1.3,0.0,0.28,310.0,99.58333333333333
UA05,2018-02-11,-0.5,-4.9,-2.7,0.0,0.0,10.0,100.0
UA05,2018-02-12,1.1,-3.2,-0.9,0.0,0.0,357.0,96.41666666666667
UA05,2018-02-13,-0.3,-2.5,-1.4,0.1,0.56,21.0,99.08333333333333
UA05,2018-02-14,0.1,-4.3,-2.7,0.0,0.28,102.0,98.5
UA05,2018-02-15,-0.1,-6.3,-3.2,0.0,1.05,65.0,94.20833333333333
UA05,2018-02-16,1.5,-3.4,-0.9,0.1,0.42,155.0,93.45833333333333
UA05,2018-02-17,3.4,-3.6,-0.5,0.0,0.0,299.0,71.79166666666667
UA05,2018-02-18,3.0,-6.9,-2.0,0.0,0.28,274.0,83.41666666666667
UA05,2018-02-19,-0.3,-11.7,-4.5,0.0,0.0,322.0,61.875
UA05,2018-02-20,0.8,-12.6,-5.2,0.0,0.0,35.0,74.08333333333333
UA05,2018-02-21,-0.3,-6.1,-3.6,0.0,0.42,127.0,88.33333333333333
UA05,2018-02-22,-1.4,-6.0,-4.1,0.0,0.35,76.0,75.70833333333333
UA05,2018-02-23,-1.7,-5.6,-4.2,0.0,0.91,54.0,98.58333333333333
UA05,2018-02-24,-3.4,-9.5,-5.9,0.0,1.54,1.0,95.79166666666667
UA05,2018-02-25,-8.2,-13.3,-10.6,0.0,0.07,30.0,95.41666666666667
UA05,2018-02-26,-10.3,-18.5,-14.1,0.0,0.0,19.0,87.41666666666667
UA05,2018-02-27,-10.2,-16.2,-13.2,0.0,1.89,40.0,99.25
UA05,2018-02-28,-10.3,-15.0,-12.6,0.0,0.28,13.0,89.625
UA05,2018-03-01,-11.7,-15.9,-14.1,0.0,2.17,316.0,93.375
UA05,2018-03-02,-6.2,-23.5,-13.2,0.0,0.98,156.0,44.416666666666664
UA05,2018-03-03,-6.5,-10.5,-7.9,0.0,2.87,318.0,84.04166666666667
UA05,2018-03-04,-4.0,-11.5,-8.3,0.0,0.0,288.0,63.958333333333336
UA05,2018-03-05,1.3,-15.7,-6.4,0.0,0.0,233.0,3.125
UA05,2018-03-06,3.6,-6.0,-1.2,0.8,0.14,153.0,82.33333333333333
UA05,2018-03-07,4.3,0.8,1.9,1.5,0.56,163.0,100.0
UA05,2018-03-08,7.7,-4.3,2.6,0.2,0.0,294.0,72.29166666666667
UA05,2018-03-09,5.6,-4.5,1.3,2.9,0.0,227.0,90.29166666666667
UA05,2018-03-10,8.1,-2.7,2.0,0.0,0.0,250.0,30.833333333333332
UA05,2018-03-11,9.6,-4.9,2.0,0.0,0.0,166.0,57.375
UA05,2018-03-12,8.6,2.4,5.2,0.9,0.0,152.0,82.375
UA05,2018-03-13,4.9,2.6,3.8,9.1,0.0,148.0,97.75
UA05,2018-03-14,3.8,1.2,2.3,3.1,0.0,6.0,100.0
UA05,2018-03-15,8.4,1.9,4.5,1.3,0.0,323.0,90.20833333333333
UA05,2018-03-16,5.6,0.8,2.6,0.3,0.0,75.0,100.0
UA05,2018-03-17,1.4,-7.4,-1.6,7.2,0.07,28.0,98.08333333333333
UA05,2018-03-18,-6.7,-10.0,-8.5,0.1,6.23,49.0,97.04166666666667
UA05,2018-03-19,-1.4,-11.3,-7.2,0.0,0.91,63.0,50.791666666666664
UA05,2018-03-20,-3.0,-8.7,-5.6,0.0,2.8,99.0,89.95833333333333
UA05,2018-03-21,1.8,-5.0,-2.7,0.0,0.84,309.0,80.45833333333333
UA05,2018-03-22,2.4,-9.9,-4.5,0.0,0.0,285.0,9.458333333333334
UA05,2018-03-23,3.2,-8.9,-3.1,0.0,0.0,167.0,38.958333333333336
UA05,2018-03-24,3.9,-10.4,-2.7,0.1,0.14,359.0,55.458333333333336
UA05,2018-03-25,6.0,-5.3,0.1,0.0,0.0,183.0,51.583333333333336
UA05,2018-03-26,6.6,-3.2,1.4,0.0,0.0,189.0,47.708333333333336
UA05,2018-03-27,8.0,-2.3,2.3,0.3,0.0,306.0,66.95833333333333
UA05,2018-03-28,6.3,-1.4,2.8,0.3,0.0,333.0,90.875
UA05,2018-03-29,9.7,-2.3,3.7,0.1,0.0,191.0,70.125
UA05,2018-03-30,9.2,2.1,4.9,0.3,0.0,166.0,78.70833333333333
UA05,2018-03-31,14.8,3.5,8.9,0.2,0.0,170.0,55.708333333333336
UA05,2018-04-01,16.6,5.1,9.4,2.8,0.0,165.0,56.5
UA05,2018-04-02,6.4,1.7,4.1,0.1,0.0,280.0,75.58333333333333
UA05,2018-04-03,13.2,-0.7,6.1,0.0,0.0,242.0,24.5
UA05,2018-04-04,19.4,3.6,11.0,0.0,0.0,196.0,10.625
UA05,2018-04-05,17.4,7.2,11.6,0.0,0.0,172.0,45.666666666666664
UA05,2018-04-06,19.1,6.5,12.4,0.1,0.0,220.0,45.291666666666664
UA05,2018-04-07,14.9,5.6,10.5,0.0,0.0,20.0,30.25
UA05,2018-04-08,17.6,1.6,9.6,0.0,0.0,119.0,2.0416666666666665
UA05,2018-04-09,20.0,5.6,12.2,0.0,0.0,156.0,3.75
UA05,2018-04-10,22.6,7.4,13.9,0.0,0.0,179.0,4.375
UA05,2018-04-11,23.8,7.1,15.6,0.0,0.0,155.0,18.541666666666668
UA05,2018-04-12,20.7,10.5,15.0,0.1,0.0,93.0,14.291666666666666
UA05,2018-04-13,22.4,7.7,14.7,0.0,0.0,101.0,5.416666666666667
