LATITUDE,LONGITUDE,OBLAST_ID
44.4,33.7,UA43
44.4,33.8,UA43
44.4,33.9,UA43
44.4,34.0,UA43
44.4,33.6,UA43
44.4,34.1,UA43
44.5,33.6,UA43
44.5,33.7,UA43
44.5,33.8,UA43
44.5,33.9,UA43
44.5,34.0,UA43
44.5,34.1,UA43
44.5,34.2,UA43
44.5,33.5,UA43
44.5,34.3,UA43
44.5,33.4,UA43
44.6,33.4,UA43
44.6,33.5,UA43
44.6,33.6,UA43
44.6,33.7,UA43
44.6,33.8,UA43
44.6,33.9,UA43
44.6,34.0,UA43
44.6,34.1,UA43
44.6,34.2,UA43
44.6,34.3,UA43
44.6,34.4,UA43
44.7,33.5,UA43
44.7,33.6,UA43
44.7,33.7,UA43
44.7,33.8,UA43
44.7,33.9,UA43
44.7,34.0,UA43
44.7,34.1,UA43
44.7,34.2,UA43
44.7,34.3,UA43
44.7,34.4,UA43
44.7,34.5,UA43
44.8,33.5,UA43
44.8,33.6,UA43
44.8,33.7,UA43
44.8,33.8,UA43
44.8,33.9,UA43
44.8,34.0,UA43
44.8,34.1,UA43
44.8,34.2,UA43
44.8,34.3,UA43
44.8,34.4,UA43
44.8,34.5,UA43
44.8,34.6,UA43
44.8,34.7,UA43
44.8,35.0,UA43
44.8,35.1,UA43
44.8,34.8,UA43
44.8,34.9,UA43
44.9,33.6,UA43
44.9,33.7,UA43
44.9,33.8,UA43
44.9,33.9,UA43
44.9,34.0,UA43
44.9,34.1,UA43
44.9,34.2,UA43
44.9,34.3,UA43
44.9,34.4,UA43
44.9,34.5,UA43
44.9,34.6,UA43
44.9,34.7,UA43
44.9,34.8,UA43
44.9,34.9,UA43
44.9,35.0,UA43
44.9,35.1,UA43
44.9,35.2,UA43
45.0,33.6,UA43
45.0,33.7,UA43
45.0,33.8,UA43
45.0,33.9,UA43
45.0,34.0,UA43
45.0,34.1,UA43
45.0,34.2,UA43
45.0,34.3,UA43
45.0,34.4,UA43
45.0,34.5,UA43
45.0,34.6,UA43
45.0,34.7,UA43
45.0,34.8,UA43
45.0,34.9,UA43
45.0,35.0,UA43
45.0,35.1,UA43
45.0,35.2,UA43
45.0,35.4,UA43
45.0,35.3,UA43
45.0,35.8,UA43
45.0,35.9,UA43
45.0,36.0,UA43
45.0,36.2,UA43
45.0,36.1,UA43
